name,country,latitude,longitude,capacity_mw,physical_cluster
Aspiravi Wuustwezel,BEL,51.2488,3.2166,22.1,0
Belwind Phase 1,BEL,51.66,2.8,171.0,0
Froidchapelle Wind,BEL,50.2233,4.32,25.0,1
HERDERSBRUG WIND,BEL,51.2622,3.2132,3.0,0
Northwind,BEL,51.6186,2.8998,216.0,0
RODENHUIZE WIND,BEL,51.1357,3.7878,4.5,0
SCHELLE WIND,BEL,51.1265,4.3226,4.5,0
Thorntonbank - C-Power - Area NE,BEL,51.556,2.9689,147.6,0
Thorntonbank - C-Power - Area SW,BEL,51.54,2.921,177.6,0
WM Park Powerport Zeebrugge,BEL,51.329,3.1819,12.0,0
Windvision Estinnes WIND,BEL,50.4116,4.0804,80.0,1
ZEEBRUGGE WIND,BEL,51.3596,3.2219,12.0,0
Anholt,DNK,56.603,11.209,399.6,2
Avedore Holme,DNK,55.6022,12.4611,11.0,2
Draeby Fed,DNK,55.4503,10.5215,9.2,2
Frederikshavn,DNK,57.4438,10.5621,8.0,10
Hagesholm,DNK,55.7606,11.5615,23.0,2
Hollandsbjerg,DNK,56.4845,10.2489,16.5,2
Horns Rev A,DNK,55.5297,7.9062,160.0,0
Horns Rev B,DNK,55.6,7.5825,209.3,0
Klim Fjordholme,DNK,57.0599,9.1563,67.2,11
Middelgrunden,DNK,55.6908,12.6703,20.0,2
NÃ¸rre Ã˜kse SÃ¸,DNK,57.1252,9.5452,17.3,12
Rejsby Hede,DNK,55.0373,8.6666,23.4,0
Roedsand 1,DNK,54.54,11.715,165.6,2
Roedsand 2,DNK,54.5228,11.5447,207.0,2
Ronland 1,DNK,56.663,8.2202,17.0,13
Samso,DNK,55.72,10.5801,23.0,2
Sprogo,DNK,55.3436,10.9603,21.0,2
Tuno Knob,DNK,55.9694,10.3556,5.0,2
Vindeby,DNK,54.97,11.1301,5.0,2
Ablaincourt-Pressoir,FRA,49.8414,2.8247,14.35,1
Ablainzevelle,FRA,50.1529,2.741,10.0,1
Achiet-le-Grand,FRA,50.1327,2.7791,18.0,1
Adriers,FRA,46.2644,0.7899,10.0,1
Agenville,FRA,50.1715,2.1079,6.0,1
Airaines,FRA,49.972,1.9449,12.0,1
Airan,FRA,49.0948,-0.146,8.0,1
Allaire,FRA,47.6396,-2.1774,8.2,1
Allanche,FRA,45.2312,2.9535,24.0,3
Allery,FRA,49.9596,1.8856,4.6,1
Allibaudières,FRA,48.6071,4.1483,35.0,1
Allondrelle-la-Malmaison,FRA,49.5112,5.5684,10.76,1
Allonnes,FRA,48.3407,1.676,52.275,1
Alluyes,FRA,48.229,1.3648,12.0,1
Ally,FRA,45.1733,3.3009,31.5,3
Amanty,FRA,48.5156,5.605,12.3,1
Ambon,FRA,47.5576,-2.5395,10.02,1
Ambonville,FRA,48.3139,5.0106,10.0,1
Ambricourt,FRA,50.4662,2.1709,4.0,1
Amelécourt,FRA,48.8406,6.4881,12.0,1
Anoux,FRA,49.2733,5.8648,10.25,1
Ansauvillers,FRA,49.567,2.3874,11.5,1
Anse-Bertrand,FRA,16.4653,-61.4621,3.025,4
