model,mean_rankic,mean_ic,rankic_t_mean,sharpe_mean,net_pnl_sum,turnover_mean
rolling_momentum_21d,0.017829546020626474,0.015176444327699665,0.9656616437272229,-0.36568550388719107,-0.062358936512501295,0.3431557158119658
ridge_price_only,0.00451765643021989,0.0018007214987667889,0.2847971908555824,-2.2796586427862526,-0.4387375048210702,0.9172008547008547
hist_gradient_boosting_full,-0.00417740820358001,0.001547816208890887,-0.35370258496932233,-4.182124023988206,-0.9833036611063113,1.3905615651709402
ridge_finance_only,-0.004486321790553054,-0.0025437913516026048,-0.2110378475305179,-2.593653368929793,-0.6689536474977076,1.1955528846153847
lagged_return_reversal,-0.006676260018132735,-0.006393590244281544,-0.3002021438895331,-3.368168968805012,-0.8210841606475386,1.5172876602564103
ridge_wind_weather_only,-0.006969124312425835,0.003290146204537809,-0.354914896309495,-3.2729593863110567,-0.6494789381689032,1.1646801549145298
rolling_mean_5d,-0.007602426253690824,-0.020618594923763476,-0.39307406379842064,-1.6089093504400893,-0.35531076671258544,0.7154947916666666
elasticnet_full,-0.010882645892880712,-0.009717982310904209,-0.551676015043611,-3.170338741249507,-0.8145498874087239,1.364082532051282
ridge_full,-0.02685985620871223,-0.024818572186352892,-1.512568752025467,-2.8728433355374148,-0.6330828754375551,0.8874565972222221
country_sector_dummy,-0.042208237829580934,-0.03735789249067873,-2.2472917759491473,-1.2178313927584663,-0.26744817407872534,0.04336271367521368
ridge_country_features_only,-0.042208237829580934,-0.03735789249067873,-2.2472917759491473,-1.2178313927584663,-0.26744817407872534,0.04336271367521368
zero_score,,,,,0.0,0.0
