model,n_obs,n_days,mse,mae,directional_accuracy,mean_ic,mean_rankic,ic_t_stat,rankic_t_stat,icir,annualized_return,annualized_volatility,sharpe,max_drawdown,gross_pnl,net_pnl,mean_turnover,tx_cost_bps,fold
ridge_price_only,3900,130,0.0003410724805893667,0.012156664482079424,0.5025641025641026,0.02089133891015069,0.030848423084182217,0.9600614060358192,1.4658178137856042,2.040838269567801,-0.06950065904704064,0.11083305480349698,-0.6270751913340549,-0.08631696785537246,0.06997981874557427,-0.03585351458775907,0.8141025641025642,10.0,fold_2019_2023_to_2024h2
ridge_finance_only,3900,130,0.00034149597233660173,0.012151836282055746,0.49230769230769234,0.0181093120281486,0.022553784826829903,0.7377691385771873,1.0302296506861621,1.4343747754939697,-0.19318785804060717,0.1117729351183796,-1.728395678578185,-0.1320860805696793,0.056839597042543946,-0.09966040295745607,1.2038461538461538,10.0,fold_2019_2023_to_2024h2
hist_gradient_boosting_full,3900,130,0.00034095769074134533,0.012159094742632236,0.5023076923076923,0.008441502344602609,0.022462965669571656,0.32840505461577674,1.1014587834972824,1.5335461314305157,-0.3827640601683169,0.11415602840985811,-3.3529903369979435,-0.18610561850884955,-0.0062909834201634734,-0.19745765008683014,1.4705128205128206,10.0,fold_2019_2023_to_2024h2
elasticnet_full,3900,130,0.00034116850526493225,0.01215504612037132,0.49974358974358973,0.012205635937112689,0.011813559870579428,0.4877755516028893,0.5448938958179493,0.7586483838446599,-0.3728856943435393,0.1144552032936277,-3.257918238866994,-0.19326449712723437,-0.006528334383571848,-0.1923616677169052,1.4294871794871793,10.0,fold_2019_2023_to_2024h2
lagged_return_reversal,3900,130,0.0007819170423430295,0.01884888634588485,0.4869230769230769,0.002405853519759916,0.010423210314156795,0.09327686401190428,0.48034987316075084,0.6687846161432202,-0.4179516307949196,0.11263617193306769,-3.7106341916811676,-0.2164896361628536,-0.018776634933887114,-0.21560996826722045,1.514102564102564,10.0,fold_2019_2023_to_2024h2
ridge_full,3900,130,0.00034230903484910375,0.012194340606558161,0.4882051282051282,-0.0005060821411161871,-0.00258155392811098,-0.021882146256983974,-0.1237579583658234,-0.17230652760609227,-0.27290417980314846,0.10568591165021222,-2.5822191013157663,-0.15952083387167795,-0.012950568946068629,-0.140783902279402,0.9833333333333332,10.0,fold_2019_2023_to_2024h2
ridge_wind_weather_only,3900,130,0.00034117954742036603,0.01216366683220583,0.5015384615384615,0.016482599422944767,-0.0032505381028561206,0.8051523191859751,-0.1715788071536557,-0.23888684705068705,-0.2409130596287254,0.10116493290358075,-2.381389012122779,-0.12441133410216977,0.02821945336613367,-0.12428054663386628,1.1730769230769231,10.0,fold_2019_2023_to_2024h2
rolling_momentum_21d,3900,130,0.01054695999294799,0.0684632698329815,0.4979487179487179,-0.009269551254587536,-0.02097284483184692,-0.33591732561139526,-0.8867564272737021,-1.234618951649666,-0.3285100380411415,0.1259448330964861,-2.6083645510846054,-0.18203882417286782,-0.12213613073550951,-0.1694694640688428,0.3641025641025641,10.0,fold_2019_2023_to_2024h2
rolling_mean_5d,3900,130,0.00044691265741179383,0.014054812128934642,0.4941025641025641,-0.05126229880173346,-0.02796046205566745,-1.9254880290167293,-1.3129010172700006,-1.8279342869215638,-0.518098120528284,0.12094151606875866,-4.28387320887999,-0.2879424833975295,-0.16977283995506715,-0.2672728399550671,0.75,10.0,fold_2019_2023_to_2024h2
country_sector_dummy,3900,130,0.0003417541121149458,0.012176507048013648,0.4815384615384615,-0.0490781234673586,-0.055131505562401324,-2.3789009766719382,-2.9080581078064363,-4.048849878015166,-0.22978626267146118,0.09618006730980248,-2.3891256171749617,-0.15396413413302554,-0.1175405323305157,-0.1185405323305157,0.007692307692307693,10.0,fold_2019_2023_to_2024h2
ridge_country_features_only,3900,130,0.0003417541121149458,0.012176507048013648,0.4815384615384615,-0.0490781234673586,-0.055131505562401324,-2.3789009766719382,-2.9080581078064363,-4.048849878015166,-0.22978626267146118,0.09618006730980248,-2.3891256171749617,-0.15396413413302554,-0.1175405323305157,-0.1185405323305157,0.007692307692307693,10.0,fold_2019_2023_to_2024h2
zero_score,3900,130,0.00034105565369324634,0.01215607336586023,0.0,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,10.0,fold_2019_2023_to_2024h2
