model,n_obs,n_days,mse,mae,directional_accuracy,mean_ic,mean_rankic,ic_t_stat,rankic_t_stat,icir,annualized_return,annualized_volatility,sharpe,max_drawdown,gross_pnl,net_pnl,mean_turnover,max_group_net_exposure,tx_cost_bps,periods_per_year,portfolio_mode,selection_buffer,fold
ridge_wind_weather_only,17920,256,0.0011270317759628937,0.02260757649182384,0.5096540178571428,0.019805416583039574,0.018942163294538256,2.436589843639594,2.154840230713011,1.2343398084723098,-0.00036100808581562664,0.06177374949259188,-0.00584403713196849,-0.19748582817173757,0.12789978488132378,-0.0011002151186761955,0.50390625,,10.0,84.0,buffered,0.1,fold_2019_2021_to_2023
rolling_momentum_21d,17920,256,0.009346530724299171,0.07003346009365267,0.49720982142857145,0.01421175457189076,0.018938851625446156,1.0435548226904365,1.5094220004003511,0.8646300715582841,0.039369092128479236,0.09075368334763285,0.43380158993300083,-0.25110373944032827,0.1443391379153652,0.11998199505822243,0.09514508928571427,,10.0,84.0,buffered,0.1,fold_2019_2021_to_2023
lagged_return_reversal,17920,256,0.0012162327861620775,0.023507573531639687,0.5052455357142858,0.003570685670436939,0.0020693237840475956,0.27413051536441174,0.17906503461153006,0.10257238442840298,-0.07352449674526325,0.08656154838821818,-0.8493898054539721,-0.3777795636377461,-0.0771460853188976,-0.22407465674746896,0.5739397321428571,,10.0,84.0,buffered,0.1,fold_2019_2021_to_2023
ridge_price_only,17920,256,0.0011279601709458364,0.02262288164508576,0.5044084821428572,0.003785695275019669,0.00020271142439905448,0.4416617855415463,0.023094886305679397,0.01322925808277186,-0.055909945938866966,0.06687026817835307,-0.8360957337534034,-0.3390508477023526,-0.04360650190892787,-0.17039221619464218,0.49525669642857145,,10.0,84.0,buffered,0.1,fold_2019_2021_to_2023
ridge_finance_only,17920,256,0.001127761069316211,0.022621303539048107,0.49955357142857143,0.0017434135240054355,5.2677869221662635e-05,0.11876332289208674,0.004200561367888521,0.002406173803707049,-0.06253853944135343,0.09873334693808015,-0.6334084823496765,-0.5352872334440278,-0.11580792972602949,-0.1905936440117438,0.2921316964285714,,10.0,84.0,buffered,0.1,fold_2019_2021_to_2023
rolling_mean_5d,17920,256,0.0011897839248211628,0.023424642128111264,0.4974888392857143,-0.008988872604053101,-0.00010288531144824961,-0.6804490426352311,-0.008601937187458582,-0.004927378535598062,0.020560486965236383,0.08533094288411688,0.24094995637348596,-0.2684819442772466,0.13030338884643472,0.06266053170357755,0.2642299107142857,,10.0,84.0,buffered,0.1,fold_2019_2021_to_2023
ridge_full,17920,256,0.0011395778876687511,0.022823902763173542,0.48208705357142856,-0.036105621653702076,-0.03328390079867595,-2.7588334087005437,-3.254927576605064,-1.864494000173985,-0.07177596086548292,0.07722675802856299,-0.9294182832190877,-0.47505287818914643,-0.1979600712090908,-0.2187457854948051,0.08119419642857141,,10.0,84.0,buffered,0.1,fold_2019_2021_to_2023
elasticnet_full,17920,256,0.0011330252051720213,0.02270199791028796,0.4849330357142857,-0.05141161025041886,-0.036354702029090843,-3.3801530191398954,-2.8642695581275923,-1.640716507609676,-0.09191141342246305,0.09543518308700018,-0.9630768281617399,-0.6477772358229488,-0.25953954566845894,-0.2801109742398874,0.08035714285714285,,10.0,84.0,buffered,0.1,fold_2019_2021_to_2023
country_sector_dummy,17920,256,0.0011363750184890994,0.022748809964593063,0.48671875,-0.045386471644409024,-0.040108740915969554,-3.2101064833671002,-2.999536072828299,-1.7182001379357816,-0.11518854115617261,0.0973475759959828,-1.1832707694840396,-0.7408459620132485,-0.35005079209500223,-0.35105079209500223,0.00390625,,10.0,84.0,buffered,0.1,fold_2019_2021_to_2023
ridge_country_features_only,17920,256,0.0011363750184890994,0.022748809964593063,0.48671875,-0.045386471644409024,-0.040108740915969554,-3.2101064833671002,-2.999536072828299,-1.7182001379357816,-0.11518854115617261,0.0973475759959828,-1.1832707694840396,-0.7408459620132485,-0.35005079209500223,-0.35105079209500223,0.00390625,,10.0,84.0,buffered,0.1,fold_2019_2021_to_2023
zero_score,17920,256,0.001127637058910706,0.0226127163314431,0.0,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,,10.0,84.0,buffered,0.1,fold_2019_2021_to_2023
rolling_momentum_21d,8960,128,0.011586508454373054,0.0767967026290297,0.5046875,0.048233105050273034,0.04805573189430721,2.53827174811913,2.817859790723567,2.2827273285186593,0.16502798571275196,0.08913282246205147,1.8514838995815828,-0.10957312863343287,0.26339978775276485,0.25147121632419345,0.09319196428571427,,10.0,84.0,buffered,0.1,fold_2019_2022_to_2023h2
rolling_mean_5d,8960,128,0.0012296958483997188,0.023477548704510857,0.5060267857142857,0.039355521846742035,0.04244402821150408,2.0519292158255027,2.5340195726684858,2.052790471894344,0.1831770915937617,0.08500401518321338,2.154922813927683,-0.09396539531960393,0.3117698538571606,0.2791269967143035,0.2550223214285714,,10.0,84.0,buffered,0.1,fold_2019_2022_to_2023h2
ridge_finance_only,8960,128,0.0011772330768812574,0.02274910106906186,0.5066964285714286,-0.024902094187653042,0.010383908937959539,-1.2828745357720537,0.7127161804020399,0.5773660945931622,-0.0622994410125532,0.08719470612453842,-0.7144865070543638,-0.1876777194562335,-0.0378610529715096,-0.09493248154293821,0.4458705357142857,,10.0,84.0,buffered,0.1,fold_2019_2022_to_2023h2
ridge_wind_weather_only,8960,128,0.001175564679165102,0.022739436081360864,0.5025669642857142,0.0033586626089270166,-0.003310834421553832,0.24192994101354495,-0.23467944251293496,-0.19011207677165567,-0.08823509035141054,0.07299593303607588,-1.2087672104664133,-0.1631050358817402,-0.07366775672595893,-0.1344534710116732,0.4748883928571428,,10.0,84.0,buffered,0.1,fold_2019_2022_to_2023h2
ridge_price_only,8960,128,0.0011769855325237265,0.022742206225171608,0.49464285714285716,-0.023262514542213127,-0.0035153124451888784,-1.6999301448227704,-0.2698448944150927,-0.21859934868668288,-0.11800055218480679,0.0684411730632608,-1.7241164477957998,-0.24465622254370037,-0.13373893666256279,-0.1798103652339913,0.3599330357142857,,10.0,84.0,buffered,0.1,fold_2019_2022_to_2023h2
ridge_full,8960,128,0.0011833277776229678,0.022841382720627797,0.49330357142857145,-0.034868793116579436,-0.029414983290060148,-2.0560709501108003,-1.8543308348834309,-1.5021796637427092,-0.13197656277703376,0.07979205902240828,-1.6540062306196448,-0.3201999290652484,-0.1842500004221467,-0.20110714327928952,0.13169642857142855,,10.0,84.0,buffered,0.1,fold_2019_2022_to_2023h2
country_sector_dummy,8960,128,0.0011797951712421567,0.022798163802579645,0.48470982142857144,-0.03215698034501922,-0.03177171527406621,-1.8998835272885026,-1.8325206647385863,-1.4845114065805978,-0.14875346868330494,0.08686597043850684,-1.7124481305209014,-0.3944232065568418,-0.2256719522793218,-0.2266719522793218,0.0078125,,10.0,84.0,buffered,0.1,fold_2019_2022_to_2023h2
ridge_country_features_only,8960,128,0.0011797951712421567,0.022798163802579645,0.48470982142857144,-0.03215698034501922,-0.03177171527406621,-1.8998835272885026,-1.8325206647385863,-1.4845114065805978,-0.14875346868330494,0.08686597043850684,-1.7124481305209014,-0.3944232065568418,-0.2256719522793218,-0.2266719522793218,0.0078125,,10.0,84.0,buffered,0.1,fold_2019_2022_to_2023h2
elasticnet_full,8960,128,0.0011779226223652655,0.02277637581602266,0.48783482142857143,-0.0347068418190332,-0.03628564304481144,-1.7653390645349132,-1.9397742871945702,-1.5713967710933683,-0.18429909131697803,0.09187568993539698,-2.0059614403610917,-0.43676303144864254,-0.2578367105782523,-0.2808367105782522,0.17968749999999997,,10.0,84.0,buffered,0.1,fold_2019_2022_to_2023h2
lagged_return_reversal,8960,128,0.001301836427384315,0.023957733766943285,0.4994419642857143,-0.040112032831758654,-0.042840254896571214,-2.0880309720568935,-2.7417656363139824,-2.221084018094518,-0.24136818730298693,0.08732063781903904,-2.7641596915862197,-0.3748393192714793,-0.29787057112836113,-0.36779914255693247,0.5463169642857142,,10.0,84.0,buffered,0.1,fold_2019_2022_to_2023h2
zero_score,8960,128,0.0011756576671319633,0.022742596554057987,0.0,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,,10.0,84.0,buffered,0.1,fold_2019_2022_to_2023h2
lagged_return_reversal,9100,130,0.0012239163197412949,0.023352190498505135,0.5172527472527473,0.048560324145303056,0.050870315123386654,2.5526573018055325,3.012242422307271,2.4213517688438104,0.11732600969181992,0.08294823271532085,1.4144485765535706,-0.1125663318504848,0.25993311023734034,0.1815759673801975,0.6027472527472527,,10.0,84.0,buffered,0.1,fold_2019_2023_to_2024h2
elasticnet_full,9100,130,0.0011048659562563924,0.022473809325912458,0.49934065934065935,0.029485926570417424,0.022840449440054783,1.8389298040925817,1.562773121846818,1.2562147836650306,0.004465219109554412,0.07229860301055413,0.06176079375838812,-0.19536590648600508,0.038553315288596124,0.006910458145738971,0.24340659340659337,,10.0,84.0,buffered,0.1,fold_2019_2023_to_2024h2
ridge_wind_weather_only,9100,130,0.001104520116076122,0.022473945636105035,0.5106593406593407,0.018544805021969726,0.016728370951339597,1.4450815319512977,1.1442682792835686,0.9198051264256786,0.04630225988622744,0.06880847913084333,0.6729150312737038,-0.10362073129135949,0.14137254506201868,0.07165825934773293,0.5362637362637362,,10.0,84.0,buffered,0.1,fold_2019_2023_to_2024h2
ridge_finance_only,9100,130,0.0011043904632393755,0.022460873419805464,0.5081318681318682,0.027109232898882903,0.01147667059917895,1.6770901288557363,0.7589274417277336,0.6100539219031368,-0.0340569233121245,0.07808161444810159,-0.43617083935631323,-0.13962473940981626,-0.007278571792573649,-0.052707143221145066,0.3494505494505495,,10.0,84.0,buffered,0.1,fold_2019_2023_to_2024h2
ridge_price_only,9100,130,0.0011067000631707527,0.02248534166198074,0.5084615384615384,-0.02056213365033544,-0.008129818793067567,-1.6301759886620144,-0.6148273438411482,-0.49422093836757147,-0.11618927893387761,0.06710972824874359,-1.7313328777494026,-0.2375415959074737,-0.14103102692147726,-0.17981674120719154,0.2983516483516484,,10.0,84.0,buffered,0.1,fold_2019_2023_to_2024h2
ridge_full,9100,130,0.0011089773081071571,0.022523732500059294,0.49164835164835163,-0.01909637479466652,-0.020201852270682618,-1.2593962560632879,-1.6446525332067072,-1.3220324801624785,-0.13937533559502804,0.06696964232168529,-2.081171867777726,-0.31720087801061975,-0.19334278127801963,-0.21569992413516245,0.17197802197802195,,10.0,84.0,buffered,0.1,fold_2019_2023_to_2024h2
rolling_mean_5d,9100,130,0.001177883932621578,0.023303720610068582,0.48516483516483516,-0.020827285501514012,-0.020412595663183892,-1.1180221092223097,-1.1888653194616379,-0.9556538752915332,-0.09952170351503604,0.0852344600278854,-1.1676228544473257,-0.2057508854233953,-0.11866454115422245,-0.1540216840113653,0.27197802197802196,,10.0,84.0,buffered,0.1,fold_2019_2023_to_2024h2
rolling_momentum_21d,9100,130,0.010460812355882554,0.06866666726795718,0.4869230769230769,-0.004315827979332979,-0.030820485399330827,-0.2264232053152378,-1.663572002902231,-1.3372406490248485,-0.014432083343353464,0.1043665131199648,-0.1382827011453799,-0.15704304553240328,-0.008978224221856552,-0.022335367078999406,0.10274725274725273,,10.0,84.0,buffered,0.1,fold_2019_2023_to_2024h2
country_sector_dummy,9100,130,0.0011095464179423863,0.022531650404923453,0.47637362637362635,-0.045145791237423544,-0.053612294523701885,-3.1180067670530827,-4.207761162354687,-3.3823539094625064,-0.21619324264793485,0.06922440765240742,-3.123078260683626,-0.3910130843211957,-0.3335847802884706,-0.3345847802884706,0.007692307692307693,,10.0,84.0,buffered,0.1,fold_2019_2023_to_2024h2
ridge_country_features_only,9100,130,0.0011095464179423863,0.022531650404923453,0.47637362637362635,-0.045145791237423544,-0.053612294523701885,-3.1180067670530827,-4.207761162354687,-3.3823539094625064,-0.21619324264793485,0.06922440765240742,-3.123078260683626,-0.3910130843211957,-0.3335847802884706,-0.3345847802884706,0.007692307692307693,,10.0,84.0,buffered,0.1,fold_2019_2023_to_2024h2
zero_score,9100,130,0.0011055039650162918,0.022482921941598538,0.0,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,,10.0,84.0,buffered,0.1,fold_2019_2023_to_2024h2
