model,n_obs,n_days,mse,mae,directional_accuracy,mean_ic,mean_rankic,ic_t_stat,rankic_t_stat,icir,annualized_return,annualized_volatility,sharpe,max_drawdown,gross_pnl,net_pnl,mean_turnover,max_group_net_exposure,tx_cost_bps,periods_per_year,portfolio_mode,selection_buffer
rolling_momentum_21d,27020,386,0.010345072015778146,0.07223157505576097,0.4902294596595115,0.014193881999453609,0.01115094237305893,1.318783509494303,1.1055145141983516,0.3994717431225561,0.04948120298734844,0.0917994051591002,0.5390144184659055,-0.3499498243571791,0.41739175303802584,0.37896318160945436,0.09955588452997777,,10.0,50.4,buffered,0.1
ridge_wind_weather_only,27020,386,0.0018672821127835167,0.029431785080649173,0.5043671354552184,0.0113649233762373,0.005526096393240744,1.5402735421181937,0.7114355946985672,0.2570734381897749,0.032323881164210484,0.06870793233057446,0.47045341153173714,-0.20194836552353296,0.35820274066240576,0.24755988351954858,0.286639526276832,,10.0,50.4,buffered,0.1
lagged_return_reversal,27020,386,0.0019492944948097395,0.03014040421547038,0.5037749814951887,0.012164382276485962,0.005506105125264501,1.161876331745214,0.5580851576049245,0.20166107984654272,-0.027736018020702295,0.08966977811015153,-0.3093128878564973,-0.6937510373620186,0.013363036587478422,-0.21242267769823586,0.5849370836417468,,10.0,50.4,buffered,0.1
ridge_finance_only,27020,386,0.0018675665644129025,0.029424790124587465,0.5014803849000741,0.008503794160512505,0.003914131649479215,0.8869725298663624,0.43652275989877254,0.15773515912260985,-0.027758208932028072,0.0808707443081484,-0.3432416650730789,-0.6115000102887269,-0.103806917614342,-0.21259263190005628,0.2818282753515914,,10.0,50.4,buffered,0.1
rolling_mean_5d,27020,386,0.0019359794738603407,0.030086605902065258,0.4923019985196151,-0.017437105468450717,-0.006556650170639692,-1.6730604737245505,-0.6822209341708793,-0.24651687722576815,-0.019581992909647208,0.08361656951304242,-0.2341879489159482,-0.49503972986514555,-0.04683034252229812,-0.1499731996651552,0.26720947446336046,,10.0,50.4,buffered,0.1
ridge_price_only,27020,386,0.0018694611669701523,0.029434689139120954,0.49944485566247226,-0.013380564337879262,-0.007075486837631594,-1.7962844767921435,-0.9133870842845402,-0.33004752630439815,-0.03702793941813729,0.06493893480239105,-0.5701962856460948,-0.540495736031747,-0.19501556776589274,-0.2835869963373213,0.22945965951147293,,10.0,50.4,buffered,0.1
elasticnet_full,27020,386,0.0018770434297409723,0.029535718541791968,0.47783123612139156,-0.0366570134248656,-0.038558669312330186,-3.3425421468832366,-4.122695010342861,-1.4897137405188696,-0.08535191810287836,0.0834660406027088,-1.0225945484720687,-1.208741798547567,-0.6183301664228383,-0.6536873092799811,0.09159881569207992,,10.0,50.4,buffered,0.1
ridge_full,27020,386,0.0018897426656766397,0.02968744578560149,0.4791635825314582,-0.04339403946080102,-0.04338507410050136,-4.507751219768689,-5.06375435586203,-1.829760490071418,-0.13458502651809515,0.07765661003739642,-1.7330788255279777,-1.3001908829561875,-0.9936789729362049,-1.0307504015076334,0.096039970392302,,10.0,50.4,buffered,0.1
country_sector_dummy,27020,386,0.0018845786003673594,0.029610364315418133,0.47498149518874905,-0.055162754086201256,-0.06040299029109004,-5.362879491541408,-6.3346820342524,-2.2890033933068006,-0.15700743988260538,0.09064401835455167,-1.732132387031596,-1.449838493914787,-1.2008347578310647,-1.202477614973922,0.0042561065877128055,,10.0,50.4,buffered,0.1
ridge_country_features_only,27020,386,0.0018845786003673594,0.029610364315418133,0.47498149518874905,-0.055162754086201256,-0.06040299029109004,-5.362879491541408,-6.3346820342524,-2.2890033933068006,-0.15700743988260538,0.09064401835455167,-1.732132387031596,-1.449838493914787,-1.2008347578310647,-1.202477614973922,0.0042561065877128055,,10.0,50.4,buffered,0.1
zero_score,27020,386,0.0018676384272063014,0.029423465914104312,0.0,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,,10.0,50.4,buffered,0.1
