model,mean_rankic,mean_ic,rankic_t_mean,sharpe_mean,net_pnl_sum,turnover_mean,horizon_days
rolling_momentum_21d,0.011403654150337896,0.010439507814370324,0.8421125800027137,0.37041498601548345,0.06104142351055295,0.09600789835164834,1
lagged_return_reversal,0.009461118721127275,0.005814413837866479,0.659324423908228,-1.7069791576161737,-0.30890024072143774,0.5752504006410256,1
ridge_wind_weather_only,0.00614115420751431,0.0058901798472569405,0.6029827077185578,-2.067595812488389,-0.2701499128484536,0.6407423305860805,1
rolling_mean_5d,0.004333145600151731,0.0002256259581877671,0.23397426083685705,-0.08406525124491566,-0.01639133340831357,0.2626387934981685,1
ridge_finance_only,0.00134435142439566,-0.006041593905510858,0.030225210309493766,-1.0815280893261334,-0.18316544721058928,0.36220667353479846,1
elasticnet_full,-0.007383633942438288,-0.00943691766304211,-0.6693702942059853,-2.945963229218021,-0.5704145409827669,0.6620249542124542,1
ridge_price_only,-0.008288618176365795,-0.010675723143597673,-0.6196121353251737,-2.787364547490455,-0.36441978176808776,0.38519631410256405,1
ridge_full,-0.019237490399253144,-0.019484168559594468,-1.5552876035499086,-1.726104425900602,-0.26578955555780037,0.18413747710622708,1
country_sector_dummy,-0.02791098590294166,-0.02451752570883665,-2.003213034262814,-2.0649212711167144,-0.310239856941859,0.0064703525641025645,1
ridge_country_features_only,-0.02791098590294166,-0.02451752570883665,-2.003213034262814,-2.0649212711167144,-0.310239856941859,0.0064703525641025645,1
zero_score,,,,,0.0,0.0,1
rolling_momentum_21d,0.012058032706807513,0.019376343880943607,0.8879032627405623,0.715667596123068,0.34911784430341647,0.09702810210622709,3
ridge_wind_weather_only,0.010786566608108006,0.013902961404645439,1.0214763558278814,-0.18056540544155938,-0.06389542678261648,0.5050194597069596,3
rolling_mean_5d,0.007309515745623978,0.003179787913724974,0.4455174386731298,0.4094166386179477,0.18776584440651578,0.26374341804029305,3
ridge_finance_only,0.007304419135453384,0.001316850745078432,0.4919480611658873,-0.5946886095867845,-0.3382332687758271,0.3624842605311355,3
lagged_return_reversal,0.0033664613369543453,0.0040063256613271135,0.14984727353493957,-0.7330336401622072,-0.41029783192420394,0.5743346497252747,3
ridge_price_only,-0.0038141399379524633,-0.0133463176391763,-0.28719245065018717,-1.430515019766202,-0.530019322635825,0.38451379349816855,3
elasticnet_full,-0.0165999652112825,-0.018877508499678213,-1.0804235744917816,-0.9690924915881479,-0.5540372266724006,0.16781707875457874,3
ridge_full,-0.027633578786472907,-0.030023596521649345,-2.251303648231734,-1.5548654605388197,-0.6355528529092571,0.12828954899267397,3
country_sector_dummy,-0.04183091690457922,-0.040896414408950595,-3.013272633307191,-2.006265720229522,-0.9123075246627946,0.0064703525641025645,3
ridge_country_features_only,-0.04183091690457922,-0.040896414408950595,-3.013272633307191,-2.006265720229522,-0.9123075246627946,0.0064703525641025645,3
zero_score,,,,,0.0,0.0,3
rolling_momentum_21d,0.021047193860998865,0.026619681434389735,1.3962581630084638,1.092547209281669,0.8600035014196667,0.09794671474358974,5
rolling_mean_5d,0.010948973583979222,0.001982653367252524,0.626175619321343,0.43945585208487364,0.2740248756868351,0.2626445169413919,5
ridge_wind_weather_only,0.009460676368523664,0.014878387802369943,0.6638701766856352,0.1892267398040157,0.1432108822691933,0.45859231913919407,5
ridge_finance_only,0.005239744416264252,0.002205632080576824,0.3411346818522027,-0.5140819412492806,-0.48858930838906073,0.2758556547619047,5
lagged_return_reversal,-0.009164247258601202,-0.0027823153913667923,-0.5701730947247584,-0.7425713695487924,-0.6620432879898732,0.5753663003663004,5
ridge_price_only,-0.011092081705993262,-0.017134743487960232,-0.612092181012476,-1.1724759131742497,-0.605740800658326,0.42163747710622707,5
ridge_full,-0.03847657088376761,-0.040882279255534996,-3.0869199943046937,-1.673922031511835,-1.1777777094311404,0.0953883356227106,5
elasticnet_full,-0.03909481023942841,-0.03643312817860533,-2.7213776999703696,-0.9985904689086985,-0.8597357814729676,0.09107858287545785,5
country_sector_dummy,-0.05582094324608148,-0.0521011599439082,-4.019489322833896,-2.1080291031335694,-1.6082371644778637,0.0064703525641025645,5
ridge_country_features_only,-0.05582094324608148,-0.0521011599439082,-4.019489322833896,-2.1080291031335694,-1.6082371644778637,0.0064703525641025645,5
zero_score,,,,,0.0,0.0,5
