model,n_obs,n_days,mse,mae,directional_accuracy,mean_ic,mean_rankic,ic_t_stat,rankic_t_stat,icir,annualized_return,annualized_volatility,sharpe,max_drawdown,gross_pnl,net_pnl,mean_turnover,tx_cost_bps,periods_per_year
lagged_return_reversal,27020,386,0.0004704131978846301,0.014334262338958048,0.5041080680977054,0.009681178953545973,0.01791743149734818,0.8725327736898998,1.8028459945853041,1.4566836558013874,-0.15107115912323532,0.08821913544736415,-1.7124534077232232,-0.285476739562709,0.10245449435885381,-0.231402648498289,0.8649148778682458,10.0,252.0
ridge_wind_weather_only,27020,386,0.0003811339298089331,0.012673997788787049,0.5028867505551443,0.010788763973954145,0.009605677699266481,1.4680326078954484,1.2251602310695409,0.9899186562229716,-0.05250937044024629,0.06765735589922842,-0.7761073388451043,-0.15250585384680934,0.17585469448438468,-0.08043101980132963,0.6639526276831975,10.0,252.0
rolling_momentum_21d,27020,386,0.008939017671696388,0.06666899295370372,0.49703923019985197,0.004300816723295793,0.005888632176203592,0.3849479909299881,0.5723070238623503,0.4624190253989962,-0.028043769345804187,0.09256613430481003,-0.3029592793997334,-0.10141423382801194,0.024258353303649095,-0.04295593241063657,0.17413027387120647,10.0,252.0
ridge_finance_only,27020,386,0.0003812128044880665,0.012675521925700074,0.4984826054774241,0.0007547452181289286,0.0011172110327033692,0.06944213983726692,0.117341987015952,0.09481129011505707,-0.12343451867783803,0.08769532449085508,-1.407538194247857,-0.29838393659452744,0.033286808691883024,-0.18907033416525984,0.5760547742413027,10.0,252.0
rolling_mean_5d,27020,386,0.00043983797563296206,0.013898629430469905,0.49844559585492226,-0.007688733281712663,-0.003193552790707596,-0.7157535686717803,-0.32358004616061714,-0.26144982211531137,-0.10032893088259287,0.08729336991706946,-1.1493304815463934,-0.17184125228899286,-0.005178441748733484,-0.15367844174873352,0.38471502590673573,10.0,252.0
ridge_price_only,27020,386,0.00038135039966983203,0.012675224551906018,0.5007031828275351,-0.00846535587320474,-0.004986316838469678,-1.0912534237912561,-0.6422069889124212,-0.5188975803811415,-0.14539371093990971,0.06989111987254654,-2.080288757785678,-0.23608826334669264,-0.05820623977303634,-0.22270623977303633,0.4261658031088083,10.0,252.0
elasticnet_full,27020,386,0.00038129238495496947,0.012674328929627368,0.4999259807549963,-0.008914434233412753,-0.007398291770496784,-0.761203009661072,-0.7369304575946426,-0.5954333072622084,-0.16214592648934462,0.08527878572242754,-1.9013629839560644,-0.33771594658488335,-0.06265209374955173,-0.2483663794638374,0.4811250925240562,10.0,252.0
ridge_full,27020,386,0.00038224463624608745,0.01271131925941776,0.48926720947446334,-0.017388538719092236,-0.020351347614296432,-1.7927595970705505,-2.5051914042677086,-2.0241725495195797,-0.1837822800597045,0.08000686972675454,-2.2970812467400803,-0.3357537253150618,-0.13665063532954735,-0.2815077781866902,0.37527757216876384,10.0,252.0
country_sector_dummy,27020,386,0.0003819229645592083,0.012693311356370626,0.487120651369356,-0.026492467364693354,-0.030073691589441787,-2.794604957566719,-3.217755793888599,-2.599918288858564,-0.1726966340818622,0.08055587864053036,-2.143811686947112,-0.3223925042018012,-0.26217024109364606,-0.2645273839507889,0.00610658771280533,10.0,252.0
ridge_country_features_only,27020,386,0.0003819229645592083,0.012693311356370626,0.487120651369356,-0.026492467364693354,-0.030073691589441787,-2.794604957566719,-3.217755793888599,-2.599918288858564,-0.1726966340818622,0.08055587864053036,-2.143811686947112,-0.3223925042018012,-0.26217024109364606,-0.2645273839507889,0.00610658771280533,10.0,252.0
zero_score,27020,386,0.00038122953333546435,0.012672506624912656,0.0,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,10.0,252.0
