model,mean_rankic,mean_ic,rankic_t_mean,sharpe_mean,net_pnl_sum,turnover_mean
rolling_momentum_21d,0.021050449178859204,0.026619680148947045,1.3964344218488076,0.8445174628066053,0.738954740297162,0.17054716117216118
rolling_mean_5d,0.01094810157376857,0.0019826426337323775,0.6261489662993202,0.18813478242458673,0.06731058257403102,0.3748597756410256
ridge_wind_weather_only,0.009453510857599346,0.014878406463347649,0.663340649232168,-0.2261457908252066,-0.1706915371067107,0.6886761675824177
ridge_finance_only,0.005174965172573804,0.0022055087610613304,0.3364047880509509,-0.4602157330338963,-0.5052672968794386,0.4792811355311355
lagged_return_reversal,-0.009164551480812955,-0.002782308502468573,-0.5702959428401285,-0.8941835092023335,-0.8205687688447761,0.8512362637362637
ridge_price_only,-0.01109453564809063,-0.017134745207109822,-0.6121866681878523,-1.3634533168221736,-0.7492866093918495,0.6549693795787546
ridge_full,-0.03847336520477859,-0.04088318029481559,-3.0861529819124853,-1.647524697933514,-1.1396185525384954,0.2619076236263736
elasticnet_full,-0.03911608474853342,-0.036431683518186854,-2.7229376254755273,-0.9922264907176478,-0.9008423989935813,0.2251788576007326
country_sector_dummy,-0.05582719725915949,-0.05210116613538066,-4.01941963514314,-2.1080291905628012,-1.6082372779599237,0.0064703525641025645
ridge_country_features_only,-0.05582719725915949,-0.05210116613538066,-4.01941963514314,-2.1080291905628012,-1.6082372779599237,0.0064703525641025645
zero_score,,,,,0.0,0.0
