model,mean_rankic,mean_ic,rankic_t_mean,sharpe_mean,net_pnl_sum,turnover_mean,horizon_days
rolling_momentum_21d,0.011400297696428705,0.010439496996640776,0.8419241349264336,0.2137766720225279,0.04627482582018938,0.16979739010989006,1
lagged_return_reversal,0.00946373212183313,0.005814434158994166,0.6594337025786537,-2.1182922445648162,-0.3855145163932103,0.8544342376373626,1
ridge_wind_weather_only,0.006137216397304939,0.005890240186852208,0.602665862022668,-2.7092303480529405,-0.34076126828234465,0.8921474358974358,1
rolling_mean_5d,0.0043270559125060705,0.0002256000700427008,0.23361230195445848,-0.502693733204618,-0.10108777513324758,0.3753362522893773,1
ridge_finance_only,0.0012680858386404086,-0.006033308171741585,0.02487458665837457,-1.6517969458656594,-0.28046298149320437,0.5756138392857143,1
elasticnet_full,-0.007378351305210644,-0.009436553407417198,-0.6690692662062016,-3.4614314419439167,-0.6573023471287083,0.8933608058608057,1
ridge_price_only,-0.008288169565076121,-0.010675748080086497,-0.6195183030171038,-3.2555840831427605,-0.4447776259810455,0.5954999427655677,1
ridge_full,-0.01922496120255146,-0.01948187675578462,-1.5539500593274036,-2.2008673036811177,-0.345247915106496,0.37662975045787545,1
country_sector_dummy,-0.027913847849330625,-0.024517532381488915,-2.0031197736269215,-2.0649212658198723,-0.31023986593581043,0.0064703525641025645,1
ridge_country_features_only,-0.027913847849330625,-0.024517532381488915,-2.0031197736269215,-2.0649212658198723,-0.31023986593581043,0.0064703525641025645,1
zero_score,,,,,0.0,0.0,1
rolling_momentum_21d,0.012059900799421165,0.01937634248088146,0.8880682653445543,0.5491082054489964,0.31794689352169997,0.1709978823260073,3
ridge_wind_weather_only,0.010787663213482769,0.013902986982733448,1.0215986174997793,-0.7484822564412412,-0.2685759645736071,0.7349802541208791,3
rolling_mean_5d,0.007312249539692738,0.0031797773769744533,0.44574603373038135,0.16809565821696623,0.060120346598254604,0.3750429258241758,3
ridge_finance_only,0.00728632664289845,0.001320144283372063,0.4908343976497917,-0.5650317026788249,-0.3179012753097296,0.5774453411172161,3
lagged_return_reversal,0.003362240779495882,0.004006346571990935,0.14946949677000912,-0.9514022162286558,-0.5196160915147714,0.8507426167582417,3
ridge_price_only,-0.0038124950298903206,-0.013346326594878758,-0.2870049519777759,-1.64102210793281,-0.6303916427486487,0.603763163919414,3
elasticnet_full,-0.016600922039206566,-0.018877495313434443,-1.0805061342980535,-1.0071611796429216,-0.6333967950270298,0.35042925824175825,3
ridge_full,-0.02761511669784571,-0.03002339167221586,-2.249137857809339,-1.4950549204135701,-0.6445095613701329,0.305601820054945,3
country_sector_dummy,-0.04183011942238918,-0.04089641377408874,-3.0132055590159137,-2.006265912513705,-0.9123075739843648,0.0064703525641025645,3
ridge_country_features_only,-0.04183011942238918,-0.04089641377408874,-3.0132055590159137,-2.006265912513705,-0.9123075739843648,0.0064703525641025645,3
zero_score,,,,,0.0,0.0,3
rolling_momentum_21d,0.021050449178859204,0.026619680148947045,1.3964344218488076,0.8445174628066053,0.738954740297162,0.17054716117216118,5
rolling_mean_5d,0.01094810157376857,0.0019826426337323775,0.6261489662993202,0.18813478242458673,0.06731058257403102,0.3748597756410256,5
ridge_wind_weather_only,0.009453510857599346,0.014878406463347649,0.663340649232168,-0.2261457908252066,-0.1706915371067107,0.6886761675824177,5
ridge_finance_only,0.005174965172573804,0.0022055087610613304,0.3364047880509509,-0.4602157330338963,-0.5052672968794386,0.4792811355311355,5
lagged_return_reversal,-0.009164551480812955,-0.002782308502468573,-0.5702959428401285,-0.8941835092023335,-0.8205687688447761,0.8512362637362637,5
ridge_price_only,-0.01109453564809063,-0.017134745207109822,-0.6121866681878523,-1.3634533168221736,-0.7492866093918495,0.6549693795787546,5
ridge_full,-0.03847336520477859,-0.04088318029481559,-3.0861529819124853,-1.647524697933514,-1.1396185525384954,0.2619076236263736,5
elasticnet_full,-0.03911608474853342,-0.036431683518186854,-2.7229376254755273,-0.9922264907176478,-0.9008423989935813,0.2251788576007326,5
country_sector_dummy,-0.05582719725915949,-0.05210116613538066,-4.01941963514314,-2.1080291905628012,-1.6082372779599237,0.0064703525641025645,5
ridge_country_features_only,-0.05582719725915949,-0.05210116613538066,-4.01941963514314,-2.1080291905628012,-1.6082372779599237,0.0064703525641025645,5
zero_score,,,,,0.0,0.0,5
