model,n_obs,n_days,mse,mae,directional_accuracy,mean_ic,mean_rankic,ic_t_stat,rankic_t_stat,icir,annualized_return,annualized_volatility,sharpe,max_drawdown,gross_pnl,net_pnl,mean_turnover,max_group_net_exposure,tx_cost_bps,periods_per_year,portfolio_mode,selection_buffer,horizon_days,portfolio_group
ridge_wind_weather_only,27020,386,0.0011196126427229505,0.02256437434235577,0.5066247224278312,0.01553824821464053,0.013071824080778529,2.1627733215179146,1.666514489496552,0.7774188821469157,0.06598518975580155,0.06690165937356576,0.9863012423556367,-0.15338013705096404,0.30321765768737374,0.30321765768737374,0.329940784603997,,0.0,84.0,buffered,0.1,3,none
ridge_wind_weather_only,27020,386,0.0011196126427229505,0.02256437434235577,0.5066247224278312,0.01553824821464053,0.013071824080778529,2.1627733215179146,1.666514489496552,0.7774188821469157,0.04671816820072098,0.0651332333447021,0.7172708278349429,-0.22627781126263485,0.21468110625569403,0.21468110625569403,0.3047742413027387,,0.0,84.0,buffered,0.15,3,none
lagged_return_reversal,27020,386,0.0012208498661058199,0.023475139405094374,0.5090303478904515,0.017993124024294784,0.01854206218862825,1.665705286051222,1.9329263986033698,0.9016984187928984,0.041003097132000864,0.08794077638793286,0.46625807522012347,-0.3196266083492551,0.18841899396371825,0.18841899396371825,0.5218356772760917,,0.0,84.0,buffered,0.15,3,none
rolling_momentum_21d,27020,386,0.009733427937021016,0.069603627464127,0.49370836417468544,0.008035651344229266,0.002431819413383398,0.7255619390978021,0.23277165207510742,0.10858656116838712,0.03951498317243407,0.09615255096615653,0.4109613606231043,-0.2162086255391918,0.18158075600666132,0.18158075600666132,0.08919319022945965,,0.0,84.0,buffered,0.15,3,none
lagged_return_reversal,27020,386,0.0012208498661058199,0.023475139405094374,0.5090303478904515,0.017993124024294784,0.01854206218862825,1.665705286051222,1.9329263986033698,0.9016984187928984,0.03769140879597197,0.08566105292131837,0.4400063682452326,-0.3125269572147743,0.17320099756244262,0.17320099756244262,0.5851221317542561,,0.0,84.0,buffered,0.1,3,none
rolling_momentum_21d,27020,386,0.009733427937021016,0.069603627464127,0.49370836417468544,0.008035651344229266,0.002431819413383398,0.7255619390978021,0.23277165207510742,0.10858656116838712,0.028882931583853782,0.09565453299083326,0.30195047407342085,-0.24916927980412096,0.13272394751628047,0.13272394751628047,0.09900074019245002,,0.0,84.0,buffered,0.1,3,none
ridge_finance_only,27020,386,0.0011196982785556713,0.02256340225393773,0.5049222797927461,0.011677952735059888,0.011547582709146345,1.086056781598931,1.2664009371895835,0.5907683414364752,0.013980671264896407,0.08699779502653747,0.16070144376224474,-0.28855686317482304,0.06424451319345253,0.06424451319345253,0.32031828275351587,,0.0,84.0,buffered,0.15,3,none
ridge_finance_only,27020,386,0.0011196982785556713,0.02256340225393773,0.5049222797927461,0.011677952735059888,0.011547582709146345,1.086056781598931,1.2664009371895835,0.5907683414364752,0.009106892923737233,0.08858247550356427,0.10280693638292826,-0.32515980745374523,0.04184834129241157,0.04184834129241157,0.3628793486306439,,0.0,84.0,buffered,0.1,3,none
rolling_mean_5d,27020,386,0.0011860302143162347,0.023386802445519543,0.49293116210214655,-0.012863273939626359,-0.006816162806456609,-1.1946390707660777,-0.6950474582937627,-0.32423541557627117,0.005627478189195183,0.08559405661022843,0.0657461325243779,-0.24969625076206783,0.025859602155111197,0.025859602155111197,0.26813471502590674,,0.0,84.0,buffered,0.1,3,none
zero_score,27020,386,0.0011201829523633828,0.02256900356292984,0.0,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,84.0,buffered,0.1,3,none
