model,mean_rankic,mean_ic,rankic_t_mean,sharpe_mean,net_pnl_sum,turnover_mean
rolling_momentum_21d,0.011400297696428705,0.010439496996640776,0.8419241349264336,-0.13649099054315827,-0.03793659106227443,0.18729769048917985
lagged_return_reversal,0.00946373212183313,0.005814434158994166,0.6594337025786537,-2.223202248834371,-0.31560997990061745,0.9180022788234224
ridge_wind_weather_only,0.006137216397304939,0.005890240186852208,0.602665862022668,-2.4696106127423945,-0.3436537455270824,0.9460465823331514
rolling_mean_5d,0.0043270559125060705,0.0002256000700427008,0.23361230195445848,-3.0072869835075196,-0.3982064176364388,0.42146924440807415
ridge_finance_only,0.0012680858386404086,-0.006033308171741585,0.02487458665837457,-0.6138769576717923,-0.08800210819587924,0.631628335833788
elasticnet_full,-0.007378351305210644,-0.009436553407417198,-0.6690692662062016,-0.8187843979738924,-0.057319181739188235,0.4487210742862338
ridge_price_only,-0.008288169565076121,-0.010675748080086497,-0.6195183030171038,-3.891731870932603,-0.4523636762972699,0.8295320740134571
ridge_full,-0.01922496120255146,-0.01948187675578462,-1.5539500593274036,-0.41214544886507887,-0.07318175364445102,0.509339908392435
country_sector_dummy,-0.027913847849330625,-0.024517532381488915,-2.0031197736269215,-1.572279370898582,-0.1850922815443801,0.20459444330787416
ridge_country_features_only,-0.027913847849330625,-0.024517532381488915,-2.0031197736269215,-1.572279370898582,-0.1850922815443801,0.20459444330787416
zero_score,,,,,0.0,0.0
