model,n_obs,n_days,mse,mae,directional_accuracy,mean_ic,mean_rankic,ic_t_stat,rankic_t_stat,icir,annualized_return,annualized_volatility,sharpe,max_drawdown,gross_pnl,net_pnl,mean_turnover,max_group_net_exposure,tx_cost_bps,periods_per_year,fold
ridge_wind_weather_only,17920,256,0.0011270318334894354,0.022607576852417138,0.5096540178571428,0.019805450877034184,0.018945453110662543,2.436593086856414,2.1552070157287044,1.2345499109845837,-0.017005455572504217,0.057946613857480456,-0.2934676323681154,-0.12723159256611608,0.17842916883273285,-0.05182615031620333,0.8994348404255319,0.0,10.0,84.0,fold_2019_2021_to_2023
rolling_momentum_21d,17920,256,0.009346530769933517,0.07003346100667482,0.49720982142857145,0.01421175701506585,0.018944455903287114,1.0435549934367936,1.5099170082123266,0.8649136229042806,-0.019578912769195725,0.06876037170909753,-0.28474122932359425,-0.2984946715539303,-0.010293180962249987,-0.05966906748707268,0.19287455673758863,0.0,10.0,84.0,fold_2019_2021_to_2023
lagged_return_reversal,17920,256,0.0012162328301488104,0.023507573895245982,0.5052455357142858,0.003570710455807702,0.0020598921945103738,0.2741324094708286,0.17824755618329705,0.10210411483135658,-0.012110038827139517,0.06569699884624089,-0.18433169002867533,-0.24088790512724856,0.1982208745774715,-0.03690678499699662,0.918467420212766,0.0,10.0,84.0,fold_2019_2021_to_2023
ridge_price_only,17920,256,0.0011279602295243979,0.022622882098940023,0.5044084821428572,0.0037856883498436204,0.00020764614858548216,0.441661039688111,0.023657382322913145,0.013551468154907464,-0.041401820825051484,0.05575706246627829,-0.7425394917476361,-0.17805615890806376,0.08733366054533452,-0.12617697775253786,0.8340259308510638,0.0,10.0,84.0,fold_2019_2021_to_2023
ridge_finance_only,17920,256,0.0011277613855171283,0.02262130312833106,0.499609375,0.001739659162885078,7.502678819595009e-05,0.11849972975916787,0.00598498807309992,0.003428332609798535,0.011063754878982103,0.06153894027742284,0.17978461814756222,-0.14596505756084063,0.18159754273148748,0.03371811010737403,0.5776540336879432,0.0,10.0,84.0,fold_2019_2021_to_2023
rolling_mean_5d,17920,256,0.001189783986279536,0.023424643022382827,0.4974888392857143,-0.008988881219128567,-9.468392924196975e-05,-0.6804496423136764,-0.0079161520157037,-0.004534545728092432,-0.15544210543732428,0.06680692984109604,-2.3267362503718085,-0.5054227874822649,-0.36374250572996103,-0.47372832133279785,0.42963209219858156,0.0,10.0,84.0,fold_2019_2021_to_2023
ridge_full,17920,256,0.0011395782836239052,0.022823902455979816,0.48203125,-0.03610964277820277,-0.03325663124887823,-2.759122761674751,-3.252399270728529,-1.863045731041582,0.01041211830346442,0.05346773033565289,0.19473649317262118,-0.1037502921352286,0.12109387219536066,0.03173217006770109,0.34906914893617025,0.0,10.0,84.0,fold_2019_2021_to_2023
elasticnet_full,17920,256,0.001133025261774222,0.022701998330649086,0.4849330357142857,-0.05141158984644696,-0.03635757251286304,-3.3801517461175394,-2.8645172375464085,-1.640858383820277,0.06330695836378378,0.06453382793412492,0.9809887370761036,-0.09833603541455879,0.3250135063406906,0.19293549215629344,0.5159297429078014,0.0,10.0,84.0,fold_2019_2021_to_2023
country_sector_dummy,17920,256,0.0011363750771517963,0.022748810177945597,0.48671875,-0.04538646999904574,-0.04010634846939945,-3.210106312122244,-2.999334849954468,-1.7180848730544207,-0.03035410638814814,0.06132968634514418,-0.4949333381117389,-0.29343687472802027,-0.050060944291336985,-0.09250775280197529,0.16580784574468085,0.0,10.0,84.0,fold_2019_2021_to_2023
ridge_country_features_only,17920,256,0.0011363750771517963,0.022748810177945597,0.48671875,-0.04538646999904574,-0.04010634846939945,-3.210106312122244,-2.999334849954468,-1.7180848730544207,-0.03035410638814814,0.06132968634514418,-0.4949333381117389,-0.29343687472802027,-0.050060944291336985,-0.09250775280197529,0.16580784574468085,0.0,10.0,84.0,fold_2019_2021_to_2023
zero_score,17920,256,0.0011276371176041574,0.022612716836235003,0.0,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,10.0,84.0,fold_2019_2021_to_2023
