model,n_obs,n_days,mse,mae,directional_accuracy,mean_ic,mean_rankic,ic_t_stat,rankic_t_stat,icir,annualized_return,annualized_volatility,sharpe,max_drawdown,gross_pnl,net_pnl,mean_turnover,max_group_net_exposure,tx_cost_bps,periods_per_year
rolling_momentum_21d,27020,386,0.010345072091130418,0.07223157542454085,0.4902294596595115,0.014193880921387484,0.011154024619635937,1.3187833735368497,1.1058593763129918,0.39959635719890063,-0.009159038779610978,0.06242969679262005,-0.14670964701359382,-0.3624921106945679,0.005484599147373176,-0.07014660652638566,0.19593576599419396,0.0,10.0,50.4
ridge_wind_weather_only,27020,386,0.0018672821454274737,0.02943178514514452,0.5043671354552184,0.011364945104933941,0.005518856628317208,1.5402767401718793,0.7104763083839278,0.2567268052226443,0.027057502041711538,0.0564496273683861,0.47932118072518504,-0.19213466106328758,0.32373674520463136,0.20722610690675902,0.3018410318597729,0.0,10.0,50.4
lagged_return_reversal,27020,386,0.0019492945315682357,0.03014040429137654,0.5037749814951887,0.012164388493229605,0.005503566804554024,1.1618770888645904,0.5578112128201854,0.20156209136717534,0.0012523764891851858,0.061280872389221565,0.020436662213794806,-0.2681226962597146,0.36714480507716885,0.009591613587807177,0.9263036048947195,0.0,10.0,50.4
ridge_finance_only,27020,386,0.0018675671109331304,0.029424793201531775,0.5013323464100666,0.008499068719746716,0.0038305481517841586,0.8864047232497007,0.4271470819140345,0.1543473081451535,0.010955128556788497,0.06049239564460345,0.1810992677683085,-0.29444469116695177,0.28227825999546474,0.08390237347064207,0.5139271671627531,0.0,10.0,50.4
rolling_mean_5d,27020,386,0.0019359795135930485,0.030086606137332158,0.49233900814211695,-0.01743711833143589,-0.006555924936150986,-1.6730616680516195,-0.6821681171492453,-0.24649779207814895,-0.11627357319418398,0.059907891777345255,-1.9408723916763495,-0.9050770693865847,-0.7243660777139841,-0.8905079216856153,0.430419284900599,0.0,10.0,50.4
ridge_price_only,27020,386,0.001869461201387163,0.029434689062023657,0.49944485566247226,-0.013380578711378946,-0.007077966209180753,-1.7962864205620226,-0.9136410491658924,-0.33013929515278745,-0.0554215685063261,0.05379380261949951,-1.0302593571668524,-0.45614925000933904,-0.3284588381635293,-0.42445883816352925,0.24870466321243523,0.0,10.0,50.4
elasticnet_full,27020,386,0.0018770430915135187,0.029535715342835493,0.47783123612139156,-0.03665478528490327,-0.038582330074042125,-3.3423448453606013,-4.125227328474593,-1.4906287801001974,-0.016361488829102207,0.058263612883115115,-0.2808183018434786,-0.35190994644100504,0.03237262312665815,-0.12530822793717167,0.4084996141549994,0.0,10.0,50.4
ridge_full,27020,386,0.0018897431996243968,0.02968744617965335,0.47908956328645447,-0.04339689771449584,-0.04338688693767738,-4.507986131205197,-5.064101754183551,-1.8298860205925227,0.015235948399747769,0.057946105670396326,0.2629330862441642,-0.1901542775951521,0.2617660316904019,0.11668801750600473,0.37584977767978545,0.0,10.0,50.4
country_sector_dummy,27020,386,0.0018845786352569022,0.02961036459022387,0.47498149518874905,-0.055162758653424494,-0.06041183047856449,-5.362880126443637,-6.335546521679611,-2.2893157712041696,-0.03578572898860929,0.0611598334407456,-0.5851181564004767,-0.3776373186479575,-0.23643494398486561,-0.27407324185720605,0.09750854371072648,0.0,10.0,50.4
ridge_country_features_only,27020,386,0.0018845786352569022,0.02961036459022387,0.47498149518874905,-0.055162758653424494,-0.06041183047856449,-5.362880126443637,-6.335546521679611,-2.2893157712041696,-0.03578572898860929,0.0611598334407456,-0.5851181564004767,-0.3776373186479575,-0.23643494398486561,-0.27407324185720605,0.09750854371072648,0.0,10.0,50.4
zero_score,27020,386,0.0018676384614270487,0.029423465812117428,0.0,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,10.0,50.4
