model,n_obs,n_days,mse,mae,directional_accuracy,mean_ic,mean_rankic,ic_t_stat,rankic_t_stat,icir,annualized_return,annualized_volatility,sharpe,max_drawdown,gross_pnl,net_pnl,mean_turnover,tx_cost_bps,fold
rolling_momentum_21d,3840,128,0.01353876247376542,0.08264023693369177,0.5013020833333334,0.04048584367231117,0.049631237863850694,1.4735992814488625,2.2269888989419546,3.1247360489961484,0.1860560741623659,0.132126075828683,1.4081707414334284,-0.08541414967353267,0.13550467259040805,0.09450467259040807,0.3203125,10.0,fold_2019_2022_to_2023h2
rolling_mean_5d,3840,128,0.0005156934007033761,0.014266796242070194,0.49505208333333334,0.0012545985434395898,0.010424830234555567,0.045562534005765265,0.46645545785404274,0.6544936910552249,0.04638903312115294,0.13789690927394782,0.33640371902024196,-0.0778878444675189,0.11189601682344276,0.02356268349010943,0.6901041666666666,10.0,fold_2019_2022_to_2023h2
hist_gradient_boosting_full,3840,128,0.0003975535127266254,0.011845046669686636,0.48333333333333334,0.040210762139055334,0.00048534003346927885,1.4910199702040863,0.020345451511206945,0.0286593107945976,-0.3752305938161512,0.12283635560306168,-3.0547193619834045,-0.20505976352656666,-0.0004266508272513722,-0.19059331749391806,1.4856770833333335,10.0,fold_2019_2022_to_2023h2
ridge_price_only,3840,128,0.0003984532143213755,0.011846599963715291,0.484375,-0.025100120616250807,-0.0039039161212974746,-1.1555645374978385,-0.20025117364562953,-0.2809767311554954,-0.2922598196808583,0.10117741465369581,-2.8885875437832476,-0.15627524344540633,-0.04061609888551532,-0.14844943221884865,0.8424479166666665,10.0,fold_2019_2022_to_2023h2
ridge_wind_weather_only,3840,128,0.00039807915354023583,0.011855285686606716,0.4984375,-0.018475970930975034,-0.015824602924903196,-0.9484392415312647,-0.8889754487840275,-1.2473405829762885,-0.2989865331980536,0.10263572694742308,-2.9130843819249668,-0.1567145079967233,0.0079671577406712,-0.15186617559266213,1.2486979166666665,10.0,fold_2019_2022_to_2023h2
elasticnet_full,3840,128,0.00039846211642168906,0.011850456501630783,0.4903645833333333,-0.010722310816453423,-0.02196473109983648,-0.3971566127524767,-0.9382106694410174,-1.31642358062404,-0.46821592937798834,0.1278982268076569,-3.66084769949256,-0.257196673727706,-0.077323964128502,-0.237823964128502,1.25390625,10.0,fold_2019_2022_to_2023h2
country_sector_dummy,3840,128,0.00039832000873055574,0.011853658060888773,0.4869791666666667,-0.01811619322866849,-0.024525146425879902,-0.8388375333379375,-1.165807275951856,-1.6357692771075256,-0.02849559806563892,0.12132215773738274,-0.2348754637823148,-0.15741446192595537,0.0006927120936437228,-0.014473954573022942,0.11848958333333333,10.0,fold_2019_2022_to_2023h2
ridge_country_features_only,3840,128,0.00039832000873055574,0.011853658060888773,0.4869791666666667,-0.01811619322866849,-0.024525146425879902,-0.8388375333379375,-1.165807275951856,-1.6357692771075256,-0.02849559806563892,0.12132215773738274,-0.2348754637823148,-0.15741446192595537,0.0006927120936437228,-0.014473954573022942,0.11848958333333333,10.0,fold_2019_2022_to_2023h2
lagged_return_reversal,3840,128,0.0009246203257869321,0.019329392208314852,0.49140625,-0.014576137092242841,-0.02509498918325681,-0.5263502853420186,-1.057331270944068,-1.4835642600731072,-0.4221314026485532,0.1255320567812208,-3.3627378812429587,-0.24105186480051682,-0.02108261721831275,-0.21441595055164606,1.5104166666666665,10.0,fold_2019_2022_to_2023h2
ridge_finance_only,3840,128,0.0003993600230890256,0.011863382235271313,0.49557291666666664,-0.0025484429330898204,-0.025616732747731123,-0.09377001176172367,-1.0987641168040634,-1.541699577735776,-0.3312562937994163,0.13627760760257016,-2.4307463245573513,-0.22552862183541453,-0.030423831771132084,-0.16825716510446542,1.0768229166666665,10.0,fold_2019_2022_to_2023h2
ridge_full,3840,128,0.0004010145717580179,0.011929848936647967,0.48802083333333335,-0.027609078061726355,-0.036859910503625096,-1.1545724926241532,-1.7493390264618787,-2.454535233874884,-0.46990625835004385,0.12130645090235485,-3.8737120314260376,-0.24933863768660366,-0.1188492105904985,-0.23868254392383179,0.9361979166666666,10.0,fold_2019_2022_to_2023h2
zero_score,3840,128,0.000397960233276085,0.011836795161556035,0.0,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,10.0,fold_2019_2022_to_2023h2
