model,n_obs,n_days,mse,mae,directional_accuracy,mean_ic,mean_rankic,ic_t_stat,rankic_t_stat,icir,annualized_return,annualized_volatility,sharpe,max_drawdown,gross_pnl,net_pnl,mean_turnover,tx_cost_bps,fold
rolling_momentum_21d,3840,128,0.012618439676611156,0.07998255749678153,0.49166666666666664,0.061406031385162096,0.05748584918218051,2.1198494268725865,2.3774464150997114,3.335846227768898,0.6810257278757699,0.23482072419155675,2.9001943087451605,-0.19828526262831622,0.3667511633654704,0.34591783003213705,0.16276041666666666,10.0,fold_2019_2022_to_2023h2
rolling_mean_5d,3840,128,0.0011707000225699487,0.022423097753370473,0.5145833333333333,0.05582484186878217,0.05607254450177076,1.9050007263165396,2.2605184667398497,3.1717821071310235,0.7091477205695742,0.24584003429976145,2.8845900652002245,-0.1743560516194924,0.4102020167972441,0.36020201679724406,0.390625,10.0,fold_2019_2022_to_2023h2
ridge_finance_only,3840,128,0.00111689788217696,0.02161390910556325,0.5020833333333333,-0.020294983771730245,-0.006997160945610096,-0.734484875084177,-0.28484315653267195,-0.3996695627671792,-0.4512904676211337,0.2561964792804105,-1.7615014417399164,-0.4575348906645261,-0.16222690418851235,-0.22922690418851235,0.5234375,10.0,fold_2019_2022_to_2023h2
hist_gradient_boosting_full,3840,128,0.001117513735150633,0.02168865550496968,0.48020833333333335,0.00956858922230006,-0.011354476425073683,0.37978581200923783,-0.4675907430733205,-0.6560866341777771,-0.42678013384246893,0.22005418312556935,-1.9394320425117106,-0.22024677305021717,-0.1534438775072858,-0.21677721084061913,0.49479166666666663,10.0,fold_2019_2022_to_2023h2
ridge_wind_weather_only,3840,128,0.0011140439964492594,0.02162318593108048,0.5057291666666667,-0.0026667058267351787,-0.012655183509870917,-0.12821301351113046,-0.638939954195758,-0.8965103997455856,-0.09932619185652522,0.17588096620416785,-0.5647353093411167,-0.20092452845097725,0.042215267628431655,-0.050451399038235034,0.7239583333333333,10.0,fold_2019_2022_to_2023h2
ridge_price_only,3840,128,0.001117796127738627,0.021633698992329684,0.4765625,-0.034286624741749316,-0.017520503612460617,-1.5452028855736208,-0.9790133178891733,-1.373674654736284,-0.5199209812558697,0.19618108990509806,-2.650209464670523,-0.26359900322766505,-0.18758684762202904,-0.26408684762202905,0.59765625,10.0,fold_2019_2022_to_2023h2
lagged_return_reversal,3840,128,0.00123099289321068,0.022854222998036168,0.4921875,-0.027474753925401264,-0.026882672387806283,-0.9435903750484144,-1.1899303868863749,-1.669616933190067,-0.9413236018319582,0.23603899063850844,-3.988000454016458,-0.5004166323381444,-0.37296595648607406,-0.4781326231527407,0.8216145833333333,10.0,fold_2019_2022_to_2023h2
elasticnet_full,3840,128,0.001119038492587756,0.02169348998593019,0.4783854166666667,-0.03247595711687724,-0.03238462545346592,-1.2197794699972675,-1.3368744057354354,-1.8757972482783802,-0.6716247189216137,0.23723442926046764,-2.8310592227918754,-0.5997682813559003,-0.2894760477062164,-0.3411427143728831,0.4036458333333333,10.0,fold_2019_2022_to_2023h2
country_sector_dummy,3840,128,0.001117657669860445,0.02171154757429689,0.4744791666666667,-0.02177783875864899,-0.0347206559730074,-0.9354131132751049,-1.5672957651503379,-2.1991064163503546,-0.04926003140574971,0.2103327907262139,-0.2342004365352169,-0.42506892252302286,-0.00985430166641253,-0.025020968333079218,0.11848958333333333,10.0,fold_2019_2022_to_2023h2
ridge_country_features_only,3840,128,0.001117657669860445,0.02171154757429689,0.4744791666666667,-0.02177783875864899,-0.0347206559730074,-0.9354131132751049,-1.5672957651503379,-2.1991064163503546,-0.04926003140574971,0.2103327907262139,-0.2342004365352169,-0.42506892252302286,-0.00985430166641253,-0.025020968333079218,0.11848958333333333,10.0,fold_2019_2022_to_2023h2
ridge_full,3840,128,0.001126363890401013,0.02181458684569699,0.47109375,-0.03458433151921661,-0.04012594499921127,-1.6359382151369937,-1.8873723626146905,-2.648212778313841,-0.4567532262157779,0.19123422249951347,-2.3884492024796447,-0.40301921450983275,-0.18933497204610938,-0.23200163871277607,0.33333333333333326,10.0,fold_2019_2022_to_2023h2
zero_score,3840,128,0.0011144514181073385,0.02161378314387842,0.0,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,10.0,fold_2019_2022_to_2023h2
