model,n_obs,n_days,mse,mae,directional_accuracy,mean_ic,mean_rankic,ic_t_stat,rankic_t_stat,icir,annualized_return,annualized_volatility,sharpe,max_drawdown,gross_pnl,net_pnl,mean_turnover,tx_cost_bps,fold
rolling_momentum_21d,3840,128,0.012121634616881783,0.07847725606064633,0.4953125,0.048759941756293376,0.04675707901316028,1.7473519901605674,2.0173546198132,2.8305936806124734,0.12113829295199488,0.12584517783553625,0.9625978129277813,-0.10303475365025627,0.08269722816609265,0.06153056149942597,0.16536458333333331,10.0,fold_2019_2022_to_2023h2
rolling_mean_5d,3840,128,0.000462961836121073,0.013338496791138259,0.5015625,0.022408733085258453,0.02263410545307268,0.807902686895178,1.0075525101940823,1.413718609623868,0.13463277948560173,0.13791726310686594,0.9761851160088697,-0.0752866379652954,0.11855157053236912,0.06838490386570246,0.39192708333333337,10.0,fold_2019_2022_to_2023h2
ridge_price_only,3840,128,0.0003983982848792059,0.01184498904644169,0.48541666666666666,-0.03260102240144594,-0.019560956296306987,-1.4925105503370988,-1.1144013248895404,-1.5636404809138555,-0.30283727464555354,0.10713860817363843,-2.8265933243667716,-0.1628737397955358,-0.07815544108980498,-0.15382210775647165,0.5911458333333333,10.0,fold_2019_2022_to_2023h2
elasticnet_full,3840,128,0.00039828674817163936,0.011840565126415311,0.49661458333333336,-0.019318042984437546,-0.019618396408253948,-0.752311893765281,-0.8683174518464333,-1.2183549029122251,-0.4113696953114917,0.13536040302805016,-3.039069669630382,-0.23157164412858264,-0.12161635317409103,-0.20894968650742435,0.6822916666666666,10.0,fold_2019_2022_to_2023h2
hist_gradient_boosting_full,3840,128,0.0003977500767938801,0.011834840021322188,0.47578125,0.003657660764455818,-0.021224039562758548,0.13015678093913732,-0.9838514470877946,-1.3804631379316041,-0.13911938565922438,0.13087929117020317,-1.0629594981402009,-0.09580126985284709,-0.008830481604685414,-0.07066381493801874,0.4830729166666667,10.0,fold_2019_2022_to_2023h2
ridge_wind_weather_only,3840,128,0.0003978845331200519,0.011841838637156588,0.5010416666666667,-0.02010967908844272,-0.02334163535877038,-1.0360194667014102,-1.3632643849704575,-1.912825596056455,-0.4130400196721916,0.0868382607116862,-4.756428978276475,-0.2099831836444191,-0.09679810523031958,-0.20979810523031955,0.8828125,10.0,fold_2019_2022_to_2023h2
country_sector_dummy,3840,128,0.00039832000873055574,0.011853658060888773,0.4869791666666667,-0.01811619322866849,-0.024525146425879902,-0.8388375333379375,-1.165807275951856,-1.6357692771075256,-0.02849559806563892,0.12132215773738274,-0.2348754637823148,-0.15741446192595537,0.0006927120936437228,-0.014473954573022942,0.11848958333333333,10.0,fold_2019_2022_to_2023h2
ridge_country_features_only,3840,128,0.00039832000873055574,0.011853658060888773,0.4869791666666667,-0.01811619322866849,-0.024525146425879902,-0.8388375333379375,-1.165807275951856,-1.6357692771075256,-0.02849559806563892,0.12132215773738274,-0.2348754637823148,-0.15741446192595537,0.0006927120936437228,-0.014473954573022942,0.11848958333333333,10.0,fold_2019_2022_to_2023h2
ridge_finance_only,3840,128,0.0003986457021180284,0.011842992429010723,0.496875,-0.01898935593670189,-0.028010024662927655,-0.7017678255425921,-1.2285219799309592,-1.723765627883558,-0.3424831038133557,0.13871557791376557,-2.4689592111007532,-0.20875389986595683,-0.09762633844487914,-0.17395967177821242,0.5963541666666666,10.0,fold_2019_2022_to_2023h2
ridge_full,3840,128,0.0003998658748640765,0.011881213608323674,0.49270833333333336,-0.036970507692189666,-0.031274790884884995,-1.6421270326579098,-1.5981897888731167,-2.2424544858764186,-0.27691733474550706,0.10484870817154963,-2.6411134631475393,-0.15911056362077963,-0.08598975733105121,-0.14065642399771788,0.42708333333333326,10.0,fold_2019_2022_to_2023h2
lagged_return_reversal,3840,128,0.0005046065257569523,0.014023762019308083,0.4953125,-0.010883915543719286,-0.031707488084549144,-0.4009285065871724,-1.4203032741376378,-1.992858088926115,-0.4806589500340148,0.13159565919653413,-3.652544111019386,-0.25206901472419363,-0.1383108952553726,-0.24414422858870594,0.8268229166666666,10.0,fold_2019_2022_to_2023h2
zero_score,3840,128,0.000397960233276085,0.011836795161556035,0.0,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,10.0,fold_2019_2022_to_2023h2
