model,n_obs,n_days,mse,mae,directional_accuracy,mean_ic,mean_rankic,ic_t_stat,rankic_t_stat,icir,annualized_return,annualized_volatility,sharpe,max_drawdown,gross_pnl,net_pnl,mean_turnover,tx_cost_bps,fold
rolling_momentum_21d,7680,256,0.009322585702442255,0.06903866950025293,0.4884114583333333,0.02571215442792556,0.034449936334884836,1.294069277665254,1.9858995080783572,1.9703235851778147,0.26916275016445135,0.2204228950332594,1.2211197485807344,-0.350574561572249,0.3169351747702363,0.27343517477023627,0.16992187499999997,10.0,fold_2019_2021_to_2023
rolling_mean_5d,7680,256,0.0010876227906124326,0.021779027776466696,0.50234375,0.02592435817633326,0.028867153910450305,1.3445436695450113,1.728680456849029,1.7151219694200204,0.4367026621155943,0.21906906389514627,1.9934474286365451,-0.1743560516194923,0.5446344504031435,0.44363445040314337,0.39453125,10.0,fold_2019_2021_to_2023
ridge_price_only,7680,256,0.0010361572741051052,0.02106874574128609,0.5135416666666667,0.018969459275709536,0.005195297265281828,1.3321860694709715,0.40625589670983037,0.40306952675540797,-0.06446932461095281,0.16135139117878516,-0.39955852961638044,-0.23129119991519598,0.1070073527761749,-0.06549264722382508,0.673828125,10.0,fold_2019_2021_to_2023
lagged_return_reversal,7680,256,0.0011239571895375392,0.022027900038050087,0.494921875,-0.0018908750374117145,-0.005898366746105254,-0.09673583864227032,-0.3672311916227706,-0.364350902512409,-0.4997081141764282,0.2201943398597387,-2.269395818687877,-0.524405217926022,-0.2881399890046256,-0.5076399890046255,0.857421875,10.0,fold_2019_2021_to_2023
ridge_wind_weather_only,7680,256,0.001036098810363388,0.021073323620048857,0.5,0.00032706478438627225,-0.01922864391569923,0.02394013031007823,-1.432479697190817,-1.4212443888435045,-0.16772656363673746,0.16272123970303728,-1.0307601143085856,-0.32182558121590565,0.025611109956330237,-0.1703888900436698,0.765625,10.0,fold_2019_2021_to_2023
ridge_finance_only,7680,256,0.0010404153551433184,0.021107112708095014,0.48190104166666664,-0.03448710060728474,-0.03616087468713123,-1.6112455606350797,-1.8753565990706318,-1.8606476927642834,-0.5142318056718358,0.23679615021823697,-2.17162232239801,-0.9217187881280595,-0.4265608819523412,-0.5223942152856744,0.37434895833333326,10.0,fold_2019_2021_to_2023
hist_gradient_boosting_full,7680,256,0.0010421493217766217,0.021190750761340353,0.46901041666666665,-0.007183277044733314,-0.03936334315407996,-0.3971994734100135,-2.481612420813634,-2.462148493470692,-0.40931065842597186,0.18186231952139484,-2.2506622564979404,-0.5055812391127575,-0.3026409863374952,-0.4158076530041619,0.44205729166666663,10.0,fold_2019_2021_to_2023
elasticnet_full,7680,256,0.0010442793777906616,0.021192857872054636,0.47213541666666664,-0.06628780406331403,-0.04418288100160521,-3.2349387002459444,-2.4015386967433607,-2.3827028083054107,-0.6477693906070161,0.23257257905350895,-2.7852354445361382,-1.0469631083669069,-0.5913847777595086,-0.6580514444261751,0.2604166666666667,10.0,fold_2019_2021_to_2023
ridge_full,7680,256,0.001055609544587164,0.021399153072174232,0.48072916666666665,-0.05933104775882539,-0.06470569339759535,-3.352485971738621,-4.42241590002889,-4.387729749590372,-0.7296779321275724,0.1966248479327875,-3.71101587515022,-0.9192010902376595,-0.6842601215264228,-0.7412601215264227,0.22265625,10.0,fold_2019_2021_to_2023
country_sector_dummy,7680,256,0.0010470185329354694,0.021265047969671873,0.464453125,-0.06887283524725886,-0.07549306062925064,-3.499448060074198,-4.16428502096787,-4.131623457702141,-0.3826320537823264,0.21044341090179752,-1.8182182665765665,-0.8565417419954995,-0.38770557844553794,-0.38870557844553794,0.00390625,10.0,fold_2019_2021_to_2023
ridge_country_features_only,7680,256,0.0010470185329354694,0.021265047969671873,0.464453125,-0.06887283524725886,-0.07549306062925064,-3.499448060074198,-4.16428502096787,-4.131623457702141,-0.3826320537823264,0.21044341090179752,-1.8182182665765665,-0.8565417419954995,-0.38770557844553794,-0.38870557844553794,0.00390625,10.0,fold_2019_2021_to_2023
zero_score,7680,256,0.0010363353983458897,0.02105457176624342,0.0,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,10.0,fold_2019_2021_to_2023
