model,n_obs,n_days,mse,mae,directional_accuracy,mean_ic,mean_rankic,ic_t_stat,rankic_t_stat,icir,annualized_return,annualized_volatility,sharpe,max_drawdown,gross_pnl,net_pnl,mean_turnover,tx_cost_bps
lagged_return_reversal,11580,386,0.0011434987865915796,0.02221041651500794,0.49844559585492226,0.019114331483837996,0.014534010061433037,1.1973135940025896,1.112868460908129,0.8991878967646407,-0.2304306285381161,0.2171050109087466,-1.0613786737284039,-0.5776114420856392,-0.01596120085600329,-0.35296120085600324,0.8730569948186528,10.0
rolling_mean_5d,11580,386,0.0010862644073647365,0.021967410134748615,0.4985319516407599,0.005201398066803851,0.013420769364057353,0.3294860385313724,1.0087527626401052,0.815063331252729,0.1740762894014909,0.2150303421216137,0.8095429123348526,-0.33135966905819114,0.42164066551180746,0.2666406655118075,0.4015544041450777,10.0
rolling_momentum_21d,11580,386,0.009862136763408047,0.06892165703936837,0.48894645941278064,0.01573356875799632,0.011189777584703985,0.9801996516559339,0.7810425518092038,0.6310754901544322,0.05164932360052698,0.22117140165603383,0.23352622994564234,-0.4430543639108241,0.14794697980080723,0.07911364646747386,0.17832469775474954,10.0
hist_gradient_boosting_full,11580,386,0.0010227837921679016,0.021240245602929128,0.4900690846286701,0.024383367616362686,-0.0033111845390460565,1.7019707231767476,-0.26055215214598204,-0.21052383989250942,-0.04370912161972518,0.1972668824479459,-0.2215735407653081,-0.5293078593785513,0.12971539307454782,-0.06695127359211872,0.5094991364421416,10.0
ridge_wind_weather_only,11580,386,0.0010212035068436658,0.021200362946469233,0.5065630397236615,0.007637043503253559,-0.003873460224395235,0.6701595033111744,-0.35750249830089503,-0.28885886412214906,-0.020711905422289834,0.16596371567248833,-0.12479779292940493,-0.3645903114304656,0.17710795439284177,-0.03172537894049157,0.5410189982728842,10.0
ridge_price_only,11580,386,0.0010232324850153929,0.02119543859415664,0.49058721934369603,-0.015891972951578126,-0.007528448972928831,-1.3460254793707347,-0.7554399516629576,-0.6103888151466571,-0.1622890144214272,0.17039002931902286,-0.9524560508031369,-0.47429471935826273,-0.08025222050266236,-0.24858555383599568,0.43609671848013815,10.0
ridge_finance_only,11580,386,0.001022774808546428,0.021191692015668888,0.5012089810017271,-0.002454726949820051,-0.008983048362686388,-0.15431625044878167,-0.6690846301791579,-0.5406144773636561,-0.2859721562023499,0.22275817838477482,-1.283778482459954,-0.7937114013405429,-0.2533700487861391,-0.43803671545280587,0.4784110535405872,10.0
elasticnet_full,11580,386,0.0010259090612308919,0.021256490280864477,0.47962003454231433,-0.03310129379981206,-0.029187470790924125,-2.2245745155980283,-2.295718070738696,-1.8549199443639552,-0.5536837025361496,0.20812623922581805,-2.660326274071574,-1.1116462875273683,-0.6899361475355306,-0.8481028142021974,0.40975820379965455,10.0
ridge_full,11580,386,0.0010329784250667593,0.021408955744538816,0.4740932642487047,-0.03858403064213391,-0.049331246187391195,-3.0209057412293667,-4.4089853027144335,-3.5624212209041004,-0.40455373988172405,0.18035087835012845,-2.243148154212668,-0.8298178363342045,-0.497173585691847,-0.6196735856918472,0.31735751295336784,10.0
country_sector_dummy,11580,386,0.0010297188621734216,0.021341644991487548,0.466839378238342,-0.06600065762441057,-0.07867533224336509,-4.881495996087109,-6.510883075250602,-5.260736074538098,-0.4899271766560263,0.18907934221328015,-2.591119531732832,-0.991472350285223,-0.7407773420207386,-0.7504440086874054,0.025043177892918825,10.0
ridge_country_features_only,11580,386,0.0010297188621734216,0.021341644991487548,0.466839378238342,-0.06600065762441057,-0.07867533224336509,-4.881495996087109,-6.510883075250602,-5.260736074538098,-0.4899271766560263,0.18907934221328015,-2.591119531732832,-0.991472350285223,-0.7407773420207386,-0.7504440086874054,0.025043177892918825,10.0
zero_score,11580,386,0.0010217485952230196,0.021186311421178102,0.0,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,10.0
