model,mean_rankic,mean_ic,rankic_t_mean,sharpe_mean,net_pnl_sum,turnover_mean
rolling_momentum_21d,0.018684534715535276,0.02301056622351207,0.9765748923555678,-0.1283982056831506,-0.02016813163388481,0.17692975427350424
rolling_mean_5d,0.010288402541555188,0.0016794635512119883,0.5287594036881383,-0.08981409283712916,0.022840061968376596,0.39847088675213677
elasticnet_full,-5.418352507915771e-05,-0.0019332866617877188,-0.042047518760690274,-1.8353700204716406,-0.5514240499170467,0.6550413995726495
lagged_return_reversal,-0.0016769572799482612,0.007768608125390931,-0.0833651497049166,-2.0198148585143705,-0.5489788467973332,0.8614149305555555
hist_gradient_boosting_full,-0.002197190427692742,0.006394897651174532,-0.10187184798705846,-0.6156672614751743,-0.20424971566730504,0.4758914262820513
ridge_price_only,-0.00559078784098294,-0.01578411148974288,-0.3047547128406925,-2.5179959799353138,-0.49850540261294973,0.6875901442307693
ridge_wind_weather_only,-0.01064553326177405,0.0005039206330421792,-0.675814298329656,-2.7261553317753324,-0.45105822607288826,0.8686765491452991
ridge_finance_only,-0.017847430964928898,-0.009022587889115268,-0.9379827925313435,-1.9114249877596106,-0.5330515336905783,0.5571380876068376
ridge_full,-0.027027379806839873,-0.02746342633006929,-1.6505097140664873,-1.7683206409108208,-0.4076528485730367,0.4102230235042735
country_sector_dummy,-0.042208237829580934,-0.03735789249067873,-2.2472917759491473,-1.2178313927584663,-0.26744817407872534,0.04336271367521368
ridge_country_features_only,-0.042208237829580934,-0.03735789249067873,-2.2472917759491473,-1.2178313927584663,-0.26744817407872534,0.04336271367521368
zero_score,,,,,0.0,0.0
