model,n_obs,n_days,mse,mae,directional_accuracy,mean_ic,mean_rankic,ic_t_stat,rankic_t_stat,icir,annualized_return,annualized_volatility,sharpe,max_drawdown,gross_pnl,net_pnl,mean_turnover,tx_cost_bps,periods_per_year,fold
rolling_momentum_21d,7680,256,0.009322585702442255,0.06903866950025293,0.4884114583333333,0.02571215442792556,0.034449936334884836,1.294069277665254,1.9858995080783572,1.1375668522930797,0.08972091672148377,0.12726121778300895,0.7050138155558551,-0.350574561572249,0.3169351747702363,0.27343517477023627,0.16992187499999997,10.0,84.0,fold_2019_2021_to_2023
rolling_mean_5d,7680,256,0.0010876227906124326,0.021779027776466696,0.50234375,0.02592435817633326,0.028867153910450305,1.3445436695450113,1.728680456849029,0.9902261307376897,0.14556755403853142,0.126479583010982,1.1509174095386765,-0.1743560516194923,0.5446344504031435,0.44363445040314337,0.39453125,10.0,84.0,fold_2019_2021_to_2023
ridge_price_only,7680,256,0.0010361572741051052,0.02106874574128609,0.5135416666666667,0.018969459275709536,0.005195297265281828,1.3321860694709715,0.40625589670983037,0.23271229977436986,-0.021489774870317606,0.09315626913119221,-0.2306852246310283,-0.23129119991519598,0.1070073527761749,-0.06549264722382508,0.673828125,10.0,84.0,fold_2019_2021_to_2023
lagged_return_reversal,7680,256,0.0011239571895375392,0.022027900038050087,0.494921875,-0.0018908750374117145,-0.005898366746105254,-0.09673583864227032,-0.3672311916227706,-0.21035809164502242,-0.16656937139214273,0.12712926139205208,-1.3102362868172566,-0.524405217926022,-0.2881399890046256,-0.5076399890046255,0.857421875,10.0,84.0,fold_2019_2021_to_2023
ridge_wind_weather_only,7680,256,0.001036098810363388,0.021073323620048857,0.5,0.00032706478438627225,-0.01922864391569923,0.02394013031007823,-1.432479697190817,-0.8205558304830424,-0.05590885454557915,0.09394715154541819,-0.5951096294659913,-0.32182558121590565,0.025611109956330237,-0.1703888900436698,0.765625,10.0,84.0,fold_2019_2021_to_2023
ridge_finance_only,7680,256,0.0010404153551433184,0.021107112708095014,0.48190104166666664,-0.03448710060728474,-0.03616087468713123,-1.6112455606350797,-1.8753565990706318,-1.074245446284515,-0.1714106018906119,0.13671432107156617,-1.2537867324146912,-0.9217187881280595,-0.4265608819523412,-0.5223942152856744,0.37434895833333326,10.0,84.0,fold_2019_2021_to_2023
hist_gradient_boosting_full,7680,256,0.0010421493217766217,0.021190750761340353,0.46901041666666665,-0.007183277044733314,-0.03936334315407996,-0.3971994734100135,-2.481612420813634,-1.4215220954901353,-0.13643688614199062,0.10499825913112704,-1.2994204596440162,-0.5055812391127575,-0.3026409863374952,-0.4158076530041619,0.44205729166666663,10.0,84.0,fold_2019_2021_to_2023
elasticnet_full,7680,256,0.0010442793777906616,0.021192857872054636,0.47213541666666664,-0.06628780406331403,-0.04418288100160521,-3.2349387002459444,-2.4015386967433607,-1.375654107774006,-0.21592313020233872,0.1342758411226689,-1.6080564336594263,-1.0469631083669069,-0.5913847777595086,-0.6580514444261751,0.2604166666666667,10.0,84.0,fold_2019_2021_to_2023
ridge_full,7680,256,0.001055609544587164,0.021399153072174232,0.48072916666666665,-0.05933104775882539,-0.06470569339759535,-3.352485971738621,-4.42241590002889,-2.5332569520573305,-0.24322597737585747,0.1135214088833641,-2.142556014484954,-0.9192010902376595,-0.6842601215264228,-0.7412601215264227,0.22265625,10.0,84.0,fold_2019_2021_to_2023
country_sector_dummy,7680,256,0.0010470185329354694,0.021265047969671873,0.464453125,-0.06887283524725886,-0.07549306062925064,-3.499448060074198,-4.16428502096787,-2.385393915494504,-0.12754401792744213,0.12149955993333582,-1.0497488056534754,-0.8565417419954995,-0.38770557844553794,-0.38870557844553794,0.00390625,10.0,84.0,fold_2019_2021_to_2023
ridge_country_features_only,7680,256,0.0010470185329354694,0.021265047969671873,0.464453125,-0.06887283524725886,-0.07549306062925064,-3.499448060074198,-4.16428502096787,-2.385393915494504,-0.12754401792744213,0.12149955993333582,-1.0497488056534754,-0.8565417419954995,-0.38770557844553794,-0.38870557844553794,0.00390625,10.0,84.0,fold_2019_2021_to_2023
zero_score,7680,256,0.0010363353983458897,0.02105457176624342,0.0,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,10.0,84.0,fold_2019_2021_to_2023
