model,n_obs,n_days,mse,mae,directional_accuracy,mean_ic,mean_rankic,ic_t_stat,rankic_t_stat,icir,annualized_return,annualized_volatility,sharpe,max_drawdown,gross_pnl,net_pnl,mean_turnover,tx_cost_bps,periods_per_year,fold
rolling_mean_5d,3840,128,0.0019305582039463596,0.029314420871501223,0.5203125,0.06779144041193695,0.07715295113481951,2.470615478837932,3.2000262042127177,2.008000506694762,0.2545632050950267,0.14097883734310104,1.8056838167525437,-0.1989150858194526,0.6970097272254647,0.6465097272254647,0.39453125,10.0,50.4,fold_2019_2022_to_2023h2
rolling_momentum_21d,3840,128,0.01329622633351274,0.08205758345689863,0.4739583333333333,0.06354748987482339,0.0736480946496191,2.173693982273166,2.9150747465229627,1.8291948860810365,0.2042156249319228,0.13348203688444943,1.5299109130969055,-0.2865141119250376,0.5398095236366295,0.5186428569699627,0.16536458333333331,10.0,50.4,fold_2019_2022_to_2023h2
ridge_finance_only,3840,128,0.001879093896386138,0.028718228760269717,0.5067708333333333,-0.014767126949582135,0.004803552386594367,-0.5832080255626317,0.19589593145463788,0.12292372140656606,-0.07494069242459529,0.13667667303110587,-0.5483063844225983,-0.6403663835972377,-0.1331589013957976,-0.19032556806246426,0.44661458333333337,10.0,50.4,fold_2019_2022_to_2023h2
hist_gradient_boosting_full,3840,128,0.0018708185377274077,0.028763208326579793,0.47421875,0.033337232511979814,-0.0016988550565712086,1.4097417777647936,-0.08337554611215425,-0.05231773996686602,0.0796958411761872,0.11384441962061018,0.7000417011371828,-0.22304225156699237,0.2657354696538088,0.20240213632047543,0.49479166666666663,10.0,50.4,fold_2019_2022_to_2023h2
ridge_wind_weather_only,3840,128,0.0018744357491686171,0.02873375488137948,0.4979166666666667,0.017073916899522694,-0.004277098437933356,0.8027366350452717,-0.19893144412960656,-0.12482849049295396,-0.015667084357225126,0.11207156383592354,-0.13979535772483961,-0.2805644258583309,0.054877246076888625,-0.0397894205897781,0.7395833333333333,10.0,50.4,fold_2019_2022_to_2023h2
ridge_price_only,3840,128,0.001883611481645558,0.028773639352270786,0.46015625,-0.04867641633654282,-0.028125348006688346,-2.000726938495906,-1.4364981155053518,-0.901395413576143,-0.1449017558276233,0.11134553008845491,-1.3013702095855193,-0.36590574716698787,-0.29400445924475754,-0.36800445924475755,0.578125,10.0,50.4,fold_2019_2022_to_2023h2
lagged_return_reversal,3840,128,0.0019955232304541696,0.02967547639667822,0.48880208333333336,-0.03748055166258239,-0.02876650335337929,-1.362390310970842,-1.2268671139455716,-0.769853004080615,-0.28856106299399115,0.13868084399886263,-2.0807564669591843,-0.8276643390966767,-0.6276868266514062,-0.7328534933180728,0.8216145833333333,10.0,50.4,fold_2019_2022_to_2023h2
ridge_full,3840,128,0.0019034354793881147,0.029054814094998833,0.46067708333333335,-0.04038877381359824,-0.03518779826412953,-1.7671333594627365,-1.6779760686537613,-1.0529216265925496,-0.09682884834528496,0.1144672698101483,-0.8459086034451784,-0.4906015600784591,-0.20941453548008873,-0.2459145354800888,0.28515625,10.0,50.4,fold_2019_2022_to_2023h2
country_sector_dummy,3840,128,0.001886280088676929,0.02889389708911014,0.4744791666666667,-0.032729267283716494,-0.0390850061092949,-1.2520359565338464,-1.695166396737972,-1.0637084718558487,-0.036139747837576966,0.12911689245365843,-0.27989945506586567,-0.6964358846591178,-0.07661681990495739,-0.09178348657162405,0.11848958333333333,10.0,50.4,fold_2019_2022_to_2023h2
ridge_country_features_only,3840,128,0.001886280088676929,0.02889389708911014,0.4744791666666667,-0.032729267283716494,-0.0390850061092949,-1.2520359565338464,-1.695166396737972,-1.0637084718558487,-0.036139747837576966,0.12911689245365843,-0.27989945506586567,-0.6964358846591178,-0.07661681990495739,-0.09178348657162405,0.11848958333333333,10.0,50.4,fold_2019_2022_to_2023h2
elasticnet_full,3840,128,0.0018880467441779625,0.02888681294918308,0.46484375,-0.04360480321720461,-0.046473371459914786,-1.5615343235409858,-1.848932258295038,-1.1601957842136261,-0.1123287256691227,0.12398015894203233,-0.906021791129036,-0.716958862751257,-0.24794596995332752,-0.28527930328666085,0.29166666666666663,10.0,50.4,fold_2019_2022_to_2023h2
zero_score,3840,128,0.0018760714301932816,0.028727173324067327,0.0,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,10.0,50.4,fold_2019_2022_to_2023h2
