model,mean_rankic,mean_ic,rankic_t_mean,sharpe_mean,net_pnl_sum,turnover_mean,horizon_days
rolling_momentum_21d,0.018684534715535276,0.02301056622351207,0.9765748923555678,-0.1283982056831506,-0.02016813163388481,0.17692975427350424,1
rolling_mean_5d,0.010288402541555188,0.0016794635512119883,0.5287594036881383,-0.08981409283712916,0.022840061968376596,0.39847088675213677,1
elasticnet_full,-5.418352507915771e-05,-0.0019332866617877188,-0.042047518760690274,-1.8353700204716406,-0.5514240499170467,0.6550413995726495,1
lagged_return_reversal,-0.0016769572799482612,0.007768608125390931,-0.0833651497049166,-2.0198148585143705,-0.5489788467973332,0.8614149305555555,1
hist_gradient_boosting_full,-0.002197190427692742,0.006394897651174532,-0.10187184798705846,-0.6156672614751743,-0.20424971566730504,0.4758914262820513,1
ridge_price_only,-0.00559078784098294,-0.01578411148974288,-0.3047547128406925,-2.5179959799353138,-0.49850540261294973,0.6875901442307693,1
ridge_wind_weather_only,-0.01064553326177405,0.0005039206330421792,-0.675814298329656,-2.7261553317753324,-0.45105822607288826,0.8686765491452991,1
ridge_finance_only,-0.017847430964928898,-0.009022587889115268,-0.9379827925313435,-1.9114249877596106,-0.5330515336905783,0.5571380876068376,1
ridge_full,-0.027027379806839873,-0.02746342633006929,-1.6505097140664873,-1.7683206409108208,-0.4076528485730367,0.4102230235042735,1
country_sector_dummy,-0.042208237829580934,-0.03735789249067873,-2.2472917759491473,-1.2178313927584663,-0.26744817407872534,0.04336271367521368,1
ridge_country_features_only,-0.042208237829580934,-0.03735789249067873,-2.2472917759491473,-1.2178313927584663,-0.26744817407872534,0.04336271367521368,1
zero_score,,,,,0.0,0.0,1
rolling_mean_5d,0.022580346093860986,0.015256586709264641,1.0658145333106666,0.5922208215054421,0.6152759476824048,0.39932558760683756,3
rolling_momentum_21d,0.019111544406326574,0.027843114347110908,0.9929035897640496,0.4433681380127162,0.4112763627459557,0.176706063034188,3
lagged_return_reversal,0.0064386601645518736,0.009673354085150241,0.25695321574748403,-0.9391324162000254,-0.8380207782117621,0.8605335202991453,3
hist_gradient_boosting_full,0.0021442628951639925,0.02978752488153051,-0.009197228295656798,0.11409526983395235,-0.19050057370243328,0.4917701655982906,3
ridge_wind_weather_only,-0.004195792559312606,0.011634718125765109,-0.328592264866026,-0.18208386087141767,-0.16851739480406042,0.7649038461538461,3
ridge_price_only,-0.005595547241202017,-0.017442728286100228,-0.2769879299902262,-0.8791858213671014,-0.4598929529938842,0.5951956463675213,3
ridge_finance_only,-0.012812259943204183,-0.007761768884037422,-0.6404624078674044,-0.8055992975633921,-0.7765681358759821,0.48515958867521364,3
elasticnet_full,-0.028558430425378197,-0.03341070664651013,-1.4186429337090083,-1.3099982968747315,-1.1141367907409132,0.40340544871794864,3
ridge_full,-0.04405541762878667,-0.03662822370971519,-2.7109079104263327,-1.2003909685161205,-0.9840628851246065,0.31609909188034185,3
country_sector_dummy,-0.06457757043718064,-0.056094667885805256,-3.637133705345691,-1.2812282224388678,-0.7709138724643423,0.04336271367521368,3
ridge_country_features_only,-0.06457757043718064,-0.056094667885805256,-3.637133705345691,-1.2812282224388678,-0.7709138724643423,0.04336271367521368,3
zero_score,,,,,0.0,0.0,3
rolling_mean_5d,0.03477258767943806,0.026154345546094665,1.655749160295522,0.8865467534004172,1.2605388243696156,0.40085136217948714,5
rolling_momentum_21d,0.0310674134735771,0.0396108087720927,1.4338473608277702,0.6275460644367672,0.828592751981087,0.1760750534188034,5
ridge_wind_weather_only,-0.004844954289499995,0.0191387726937025,-0.3480366190536406,-0.026714977386283607,-0.030001928353298714,0.7429821047008547,5
lagged_return_reversal,-0.0075026555196124915,-0.001402455864053948,-0.4317817250514087,-1.1077311378845944,-1.5707933067102993,0.8575554220085468,5
ridge_price_only,-0.009774098281642258,-0.02794821742049539,-0.37907723675221106,-0.7276521395235989,-0.5529387801625506,0.5851061698717949,5
hist_gradient_boosting_full,-0.010263569776995109,0.008607517123039097,-0.5331312926311452,0.566521367947249,0.7377721946919492,0.4438100961538461,5
ridge_finance_only,-0.018594137771758685,-0.01315173360907544,-0.9782543349435954,-0.6163623820872195,-1.0716587128813857,0.4166866987179487,5
elasticnet_full,-0.05257081023212023,-0.06033527178815693,-2.893523679091878,-1.335063104325046,-1.5382052207716843,0.26388888888888884,5
ridge_full,-0.05309872976415645,-0.05322712979940105,-3.369267965895828,-1.294201839151501,-1.590647320883186,0.2757979433760684,5
country_sector_dummy,-0.0777819929054192,-0.07397500068124317,-4.363013803549264,-1.3802096027620099,-1.489598341571818,0.04336271367521368,5
ridge_country_features_only,-0.0777819929054192,-0.07397500068124317,-4.363013803549264,-1.3802096027620099,-1.489598341571818,0.04336271367521368,5
zero_score,,,,,0.0,0.0,5
