model,n_obs,n_days,mse,mae,directional_accuracy,mean_ic,mean_rankic,ic_t_stat,rankic_t_stat,icir,annualized_return,annualized_volatility,sharpe,max_drawdown,gross_pnl,net_pnl,mean_turnover,tx_cost_bps,fold
ridge_wind_weather_only,3900,130,0.0008772903090524631,0.02002376608102321,0.5271794871794871,0.021568112509010248,0.008755851175629067,0.9652065105600538,0.4114913521267929,0.5729138308448672,-0.4633857768220398,0.22903290471865773,-2.0232279610270822,-0.3896432187448205,-0.09688155153517933,-0.23904821820184594,1.0935897435897435,10.0,fold_2019_2023_to_2024h2
lagged_return_reversal,3900,130,0.0014488000781165712,0.02509526141419392,0.4941025641025641,0.008039125258609116,0.0027791728099814256,0.34493919903628795,0.14364283415554502,0.1999919705824332,0.09768141057795127,0.25192956991862103,0.38773301049775366,-0.1922308143953953,0.24705787053624478,0.05039120386957803,1.5128205128205128,10.0,fold_2019_2023_to_2024h2
rolling_mean_5d,3900,130,0.0009740727144402604,0.021315948209173995,0.4905128205128205,-0.01044043303558168,-0.007547686535319045,-0.42570108133944123,-0.412162510728176,-0.5738482758664588,-0.7137101268236212,0.28811604087108045,-2.477162065207525,-0.4710744459288144,-0.2716837955836141,-0.36818379558361414,0.7423076923076923,10.0,fold_2019_2023_to_2024h2
ridge_finance_only,3900,130,0.0008792240402404674,0.020053682427724227,0.4907692307692308,-0.024680101914896037,-0.010286076207997154,-1.3297853404644844,-0.5940196399251436,-0.8270454913515147,-0.3733748847491536,0.23516780308154414,-1.5876955937700639,-0.2916350451517704,-0.07328069451345223,-0.1926140278467856,0.9179487179487179,10.0,fold_2019_2023_to_2024h2
rolling_momentum_21d,3900,130,0.011609090192486581,0.07152470132586757,0.48102564102564105,-0.0403006412612446,-0.013248671535125793,-2.059013764786808,-0.8000812548051245,-1.1139422841049944,-0.5774328732182117,0.26844225441983094,-2.1510506029171332,-0.6230136629612268,-0.2510487044379664,-0.29788203777129973,0.3602564102564102,10.0,fold_2019_2023_to_2024h2
hist_gradient_boosting_full,3900,130,0.0009010240180243631,0.020256491639716878,0.4864102564102564,-0.050137590542901476,-0.030295362214710568,-1.8392000145308869,-1.4747354107116557,-2.053254118869199,-0.33591152009773917,0.25292861237555353,-1.3280882575632487,-0.34099490170971414,-0.04528768893930993,-0.1732876889393099,0.9846153846153846,10.0,fold_2019_2023_to_2024h2
elasticnet_full,3900,130,0.0008803825946063947,0.02006354765379939,0.47897435897435897,-0.07968069710579508,-0.03261816727018405,-3.042032280490213,-1.716752160934209,-2.39021075910475,0.4904573226464455,0.20756370188690593,2.3629243369039465,-0.19506855818913252,0.35268036485729326,0.25301369819062663,0.7666666666666666,10.0,fold_2019_2023_to_2024h2
country_sector_dummy,3900,130,0.0008835914109301788,0.020077521297427937,0.47435897435897434,-0.08218619343659762,-0.03776286421285747,-2.5629341763049682,-1.8216862368280824,-2.5363090503466057,-0.3173882180389854,0.20714013473774606,-1.5322391213118656,-0.4997198552923236,-0.1472320172423338,-0.16373201724233377,0.12692307692307692,10.0,fold_2019_2023_to_2024h2
ridge_country_features_only,3900,130,0.0008835914109301788,0.020077521297427937,0.47435897435897434,-0.08218619343659762,-0.03776286421285747,-2.5629341763049682,-1.8216862368280824,-2.5363090503466057,-0.3173882180389854,0.20714013473774606,-1.5322391213118656,-0.4997198552923236,-0.1472320172423338,-0.16373201724233377,0.12692307692307692,10.0,fold_2019_2023_to_2024h2
ridge_full,3900,130,0.0008911633193843636,0.020168613629648644,0.4782051282051282,-0.07996886388391639,-0.05207219111951972,-3.3904628978056444,-2.594146959880469,-3.6117956425527398,-0.3443902720298453,0.2144049651093025,-1.606260712545892,-0.29198821465320435,-0.07366164826936461,-0.17766164826936465,0.8,10.0,fold_2019_2023_to_2024h2
ridge_price_only,3900,130,0.0008808415850814023,0.020062718984516784,0.49256410256410255,-0.10962754766383442,-0.07458225456370944,-5.114767317131747,-3.940593818795094,-5.486435350004295,0.8620300745822752,0.20581564672350391,4.188360254943787,-0.0674989701664328,0.5568647210146658,0.4446980543479991,0.8628205128205128,10.0,fold_2019_2023_to_2024h2
zero_score,3900,130,0.0008768485832689849,0.020028716547348117,0.0,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,10.0,fold_2019_2023_to_2024h2
