model,n_obs,n_days,mse,mae,directional_accuracy,mean_ic,mean_rankic,ic_t_stat,rankic_t_stat,icir,annualized_return,annualized_volatility,sharpe,max_drawdown,gross_pnl,net_pnl,mean_turnover,tx_cost_bps,fold
hist_gradient_boosting_full,3900,130,0.0004712828965465794,0.015431016822950987,0.4958974358974359,0.05527292464839845,0.07369735849160874,2.1303400403557617,3.542049535369715,4.931547547384812,-0.6280739810833278,0.16921903360434148,-3.711603640001015,-0.3404086594697028,-0.16783975214616118,-0.3240064188128279,1.2012820512820512,10.0,fold_2019_2023_to_2024h2
ridge_wind_weather_only,3900,130,0.0004708414451450099,0.015419725769546793,0.518974358974359,0.03191026178967782,0.01751729476205798,1.450166774168697,0.8372930535679939,1.1657517670301538,-0.6127510952173022,0.1696068482185267,-3.612773314599979,-0.3108512934138865,-0.16960175546924322,-0.3161017554692432,1.126923076923077,10.0,fold_2019_2023_to_2024h2
elasticnet_full,3900,130,0.0004710967450331328,0.015429827624757775,0.5015384615384615,0.0032554360999427863,0.016018528667698654,0.130213192305315,0.8189632620309115,1.1402314467759824,-0.15960636311839546,0.1545916456761589,-1.032438476350407,-0.1770184694133142,0.03316338410558968,-0.08233661589441037,0.8884615384615384,10.0,fold_2019_2023_to_2024h2
lagged_return_reversal,3900,130,0.0010355768573113717,0.021578251642480256,0.4848717948717949,0.01227579430270215,-0.00019664105805070693,0.5538362649908406,-0.010436092726189167,-0.014530030417190847,0.04876187159407575,0.1973031659132261,0.24714186094470078,-0.1500959932241903,0.22165493375884862,0.025154933758848603,1.5115384615384615,10.0,fold_2019_2023_to_2024h2
ridge_finance_only,3900,130,0.0004717044121739487,0.01543992890836063,0.49435897435897436,-0.006087110677897145,-0.0019716405643282415,-0.33385603735980524,-0.10800840670838999,-0.15037864035521026,-0.5546494926680986,0.17670649284282366,-3.138817842768497,-0.2997892425195425,-0.1606287065351303,-0.2861287065351303,0.9653846153846154,10.0,fold_2019_2023_to_2024h2
rolling_momentum_21d,3900,130,0.011066477588079984,0.06995456559547034,0.4928205128205128,-0.02892237851696177,-0.0024012254442296226,-1.3649698940557082,-0.14187865346754408,-0.19753572572809733,-0.6501711968411104,0.20601443661212243,-3.15594968747376,-0.463384042690281,-0.2879057761481919,-0.3354057761481919,0.36538461538461536,10.0,fold_2019_2023_to_2024h2
rolling_mean_5d,3900,130,0.0005602836200236744,0.01707830738749652,0.49333333333333335,-0.007301856805652128,-0.013255517509307486,-0.3014405976294386,-0.7097683220462974,-0.9882008122265005,-0.8873803811732185,0.19371906656660495,-4.580759121447229,-0.45374106578854817,-0.36127559346237453,-0.45777559346237456,0.7423076923076923,10.0,fold_2019_2023_to_2024h2
ridge_full,3900,130,0.0004746456209438375,0.015480473734941314,0.49333333333333335,-0.028387356351399762,-0.02964306820674056,-1.2184101504835747,-1.605959405909129,-2.235955508336522,-0.6693293330355485,0.1580850460980487,-4.233982590740506,-0.34413732765222527,-0.22712227497865606,-0.34528894164532264,0.9089743589743589,10.0,fold_2019_2023_to_2024h2
country_sector_dummy,3900,130,0.00047258730121342856,0.015445505403778842,0.4841025641025641,-0.048602216428008604,-0.03148503634217293,-1.5681641823603443,-1.7106813328097437,-2.381758427411236,-0.12975884911167895,0.16961742348391495,-0.7650089622071411,-0.3095810202437169,-0.06593908882745342,-0.06693908882745342,0.007692307692307693,10.0,fold_2019_2023_to_2024h2
ridge_country_features_only,3900,130,0.00047258730121342856,0.015445505403778842,0.4841025641025641,-0.048602216428008604,-0.03148503634217293,-1.5681641823603443,-1.7106813328097437,-2.381758427411236,-0.12975884911167895,0.16961742348391495,-0.7650089622071411,-0.3095810202437169,-0.06593908882745342,-0.06693908882745342,0.007692307692307693,10.0,fold_2019_2023_to_2024h2
ridge_price_only,3900,130,0.00047230667889295626,0.015441185064831693,0.49128205128205127,-0.04292115097252847,-0.03184877950513574,-1.8315187865969185,-1.5540151802930644,-2.163634267235932,0.08499030827039465,0.16446972016631697,0.5167535287617062,-0.08739509092317901,0.16317753998075915,0.04384420664742581,0.9179487179487178,10.0,fold_2019_2023_to_2024h2
zero_score,3900,130,0.0004709780163780258,0.015432163814492438,0.0,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,10.0,fold_2019_2023_to_2024h2
