model,best_baseline,mean_loss_diff_model_minus_baseline,dm_t_stat,normal_approx_p_value,fold
zero_change,ridge_finance_only,0.006760957267997324,0.058058964136988606,0.953701661099944,fold_2019_2021_to_2023
previous_pc1_change,ridge_finance_only,5.770516153688213,4.218644461101668,2.457754779098098e-05,fold_2019_2021_to_2023
rolling5_mean,ridge_finance_only,0.43881878152695825,2.20958267105053,0.0271341390653384,fold_2019_2021_to_2023
ridge_full,ridge_finance_only,0.19559990923264392,1.4532980301839604,0.14614102399668163,fold_2019_2021_to_2023
ridge_weather_only,ridge_finance_only,0.10191579045363792,0.7599726369057656,0.4472709411928755,fold_2019_2021_to_2023
ridge_electricity_only,ridge_finance_only,0.03307496904170625,0.2682252919781854,0.7885259078734751,fold_2019_2021_to_2023
ridge_weather_electricity,ridge_finance_only,0.1661579859951449,1.0561541416703473,0.29089779809753785,fold_2019_2021_to_2023
ridge_no_finance,ridge_finance_only,0.1661579859951449,1.0561541416703473,0.29089779809753785,fold_2019_2021_to_2023
linear_full,ridge_finance_only,0.28407790048395165,1.90207171353245,0.05716177986517065,fold_2019_2021_to_2023
gradient_boosting_full,ridge_finance_only,1.1040401769461619,3.7301181336959064,0.0001913900131255523,fold_2019_2021_to_2023
