model,n,mse,mae,rmse,directional_accuracy,ic,ic_t_stat,annualized_return,annualized_volatility,sharpe,max_drawdown,mean_turnover,gross_pnl,net_pnl,tx_cost_bps,mse_ci95,ic_ci95,sharpe_ci95,directional_accuracy_ci95,fold
ridge_finance_only,249,5.403848508814214,1.6637088530091515,2.3246179274913574,0.5220883534136547,0.07148146421576683,1.1263005505339008,0.21076732606375775,0.26507630308050034,0.7951194566032195,-0.20983522469445107,0.9598393574297188,0.44725819122966537,0.2082581912296654,10.0,"[3.775658581133639, 7.3647815655579905]","[-0.07125172643617712, 0.2158074735766645]","[-1.1813155591431141, 2.71427745426268]","[0.46586345381526106, 0.5863453815261044]",fold_2019_2021_to_2023
zero_change,249,5.410609466082212,1.6464961743589528,2.326071681200348,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,10.0,"[3.7448420542751846, 7.429977971734762]","[nan, nan]","[nan, nan]","[0.0, 0.0]",fold_2019_2021_to_2023
ridge_electricity_only,249,5.436923477855921,1.6539934519417805,2.331721140671826,0.5100401606425703,-0.016954857726361384,-0.2665048139034281,-0.05649012138473749,0.2675424083428868,-0.21114454988511136,-0.39475248689566395,0.2289156626506024,0.0011823800603188578,-0.055817619939681096,10.0,"[3.7364971611043725, 7.48516577743318]","[-0.13268759460853974, 0.1158674407600117]","[-2.054133376888634, 1.666142089821365]","[0.4457831325301205, 0.5742971887550201]",fold_2019_2021_to_2023
ridge_weather_only,249,5.505764299267853,1.6837028893107546,2.3464365108112033,0.4899598393574297,0.016955979949432695,0.2665224586317969,-0.27257979330772913,0.2684454518500374,-1.0154010486271952,-0.4386888810638231,0.6385542168674698,-0.11033479576835138,-0.2693347957683514,10.0,"[3.854218659574909, 7.53116513741897]","[-0.08236151631744734, 0.1179082930330854]","[-2.7626594319156115, 0.7518313688654159]","[0.42971887550200805, 0.5461847389558233]",fold_2019_2021_to_2023
ridge_no_finance,249,5.57000649480936,1.6957967248349413,2.3600861202103114,0.44176706827309237,0.008088280340663981,0.12712146185294487,-0.5425478591902991,0.2661390825726966,-2.038587696123514,-0.636889112828843,0.5823293172690763,-0.3910889561047003,-0.5360889561047003,10.0,"[3.90111739291811, 7.593032764392065]","[-0.09568131081735111, 0.10925166679678892]","[-3.6623399220482327, -0.22593217602672244]","[0.3815261044176707, 0.4939759036144578]",fold_2019_2021_to_2023
ridge_weather_electricity,249,5.57000649480936,1.6957967248349413,2.3600861202103114,0.44176706827309237,0.008088280340663981,0.12712146185294487,-0.5425478591902991,0.2661390825726966,-2.038587696123514,-0.636889112828843,0.5823293172690763,-0.3910889561047003,-0.5360889561047003,10.0,"[3.90111739291811, 7.593032764392065]","[-0.09568131081735111, 0.10925166679678892]","[-3.6623399220482327, -0.22593217602672244]","[0.3815261044176707, 0.4939759036144578]",fold_2019_2021_to_2023
ridge_full,249,5.599448418046859,1.7177846928791587,2.3663153674112967,0.46586345381526106,0.0494383596329886,0.7779360894574422,-0.2764931909998408,0.2668609443545676,-1.0360946284911414,-0.49097434414980856,0.7269076305220884,-0.09220160539269989,-0.27320160539269983,10.0,"[3.994743813147149, 7.530599091116759]","[-0.07143459472102456, 0.18143462185355574]","[-2.8606799996013343, 0.8547773728605902]","[0.40963855421686746, 0.5301204819277109]",fold_2019_2021_to_2023
linear_full,249,5.687926409298166,1.7506866907821164,2.384937401547086,0.4859437751004016,0.04814380230707105,0.7575176518752745,0.00010601634266813895,0.26673258546043316,0.0003974630339414054,-0.3050859030363364,0.751004016064257,0.1871047542433506,0.00010475424335066111,10.0,"[4.100415805719522, 7.616248194823396]","[-0.0561178859552931, 0.150843164627257]","[-1.7977241625836664, 2.1640130433396605]","[0.43373493975903615, 0.5461847389558233]",fold_2019_2021_to_2023
rolling5_mean,249,5.842667290341173,1.7377695013437484,2.4171609980183724,0.46987951807228917,-0.08898148117546767,-1.404023114039721,-0.5185249654131593,0.26562512287917645,-1.9520930843917883,-0.5411306341010098,1.0,-0.26335204915824073,-0.5123520491582407,10.0,"[4.123802157621018, 7.929067780531246]","[-0.1795033308779173, -0.003565878317290101]","[-3.7347055131357645, 0.03791703504251506]","[0.41365461847389556, 0.5261044176706827]",fold_2019_2021_to_2023
gradient_boosting_full,249,6.507888685760377,1.8473774508252232,2.5510563862369597,0.4819277108433735,-0.06780131624153106,-1.0680390529644845,-0.6345370915633124,0.2655291193013794,-2.3897081165064376,-0.7419163100067221,0.8072289156626506,-0.425983078568511,-0.6269830785685111,10.0,"[4.611189345445519, 8.784874073910608]","[-0.18415811053032585, 0.04340745789760958]","[-4.20726101402283, -0.5858176589266215]","[0.42168674698795183, 0.5421686746987951]",fold_2019_2021_to_2023
previous_pc1_change,249,11.174364662502429,2.448225121192679,3.342807900927367,0.4899598393574297,-0.02993308008917868,-0.47064617462579467,-0.4138768190203079,0.266756417696333,-1.5515158832709026,-0.4673702082377715,1.321285140562249,-0.07994971403197083,-0.4089497140319709,10.0,"[8.385947670301519, 14.175047653708463]","[-0.16341956619692594, 0.09433276476464285]","[-3.5323910580451097, 0.3650075148104547]","[0.43373493975903615, 0.5461847389558233]",fold_2019_2021_to_2023
