model,best_baseline,mean_loss_diff_model_minus_baseline,dm_t_stat,normal_approx_p_value,fold
previous_pc1_change,zero_change,8.015474509517087,3.592812924095478,0.0003271274480610284,fold_2019_2022_to_2023h2
rolling5_mean,zero_change,0.6797124918215078,3.6981523609400853,0.00021717452492198814,fold_2019_2022_to_2023h2
ridge_full,zero_change,0.09428946899344316,0.6096568619952932,0.5420891360412383,fold_2019_2022_to_2023h2
ridge_finance_only,zero_change,0.009778038841312467,0.05780487202743596,0.9539040573537593,fold_2019_2022_to_2023h2
ridge_weather_only,zero_change,0.07501266739483436,0.8219136585297927,0.4111260388110749,fold_2019_2022_to_2023h2
ridge_electricity_only,zero_change,0.03637616753407044,1.3583071865794059,0.17436623084848996,fold_2019_2022_to_2023h2
ridge_weather_electricity,zero_change,0.1097316421775126,1.2589953306202164,0.20803201844279876,fold_2019_2022_to_2023h2
ridge_no_finance,zero_change,0.1097316421775126,1.2589953306202164,0.20803201844279876,fold_2019_2022_to_2023h2
linear_full,zero_change,0.09313778209080045,0.5906849516613384,0.5547315326427924,fold_2019_2022_to_2023h2
gradient_boosting_full,zero_change,1.0095535917333318,2.4887477163938594,0.012819389676095163,fold_2019_2022_to_2023h2
