model,n,mse,mae,rmse,directional_accuracy,ic,ic_t_stat,annualized_return,annualized_volatility,sharpe,max_drawdown,mean_turnover,gross_pnl,net_pnl,tx_cost_bps,mse_ci95,ic_ci95,sharpe_ci95,directional_accuracy_ci95,regime,fold
gradient_boosting_full,128,7.35003827880093,1.9457351228535893,2.711095402010215,0.484375,0.013322575355789665,0.14955881073401908,-0.9623458080547814,0.3181569694405288,-3.0247516178791964,-0.6349469003812526,0.6953125,-0.39981056917068264,-0.4888105691706826,10.0,"[4.546800381345121, 10.945453209530932]","[-0.09655657393899574, 0.1290147789260427]","[-5.571569440690831, -0.34276109450517595]","[0.3984375, 0.5703125]",post_2022,fold_2019_2022_to_2023h2
linear_full,128,6.433622469158399,1.7257855072053836,2.536458647239966,0.4765625,0.021860578385963864,0.24544303755843155,-0.30166251351629625,0.3215466098026113,-0.9381610762479462,-0.3299743314444368,0.9453125,-0.03222540369081718,-0.15322540369081714,10.0,"[3.8667166092144103, 9.76536096309157]","[-0.16621916165962292, 0.17840002242995043]","[-3.691771912284675, 1.685978074147132]","[0.390625, 0.5587890624999998]",post_2022,fold_2019_2022_to_2023h2
previous_pc1_change,128,14.355959196584687,2.8083657079822584,3.7889258631681733,0.4140625,-0.12705862215471317,-1.437883238897569,-0.6648069741007735,0.3214414818624736,-2.0682052927605854,-0.4458746621047345,1.1796875,-0.18667973287658338,-0.33767973287658337,10.0,"[9.849359917039461, 19.921274940771877]","[-0.32756601055459234, 0.05293079578361355]","[-5.194069016409774, 1.0376188962863475]","[0.3359375, 0.4921875]",post_2022,fold_2019_2022_to_2023h2
ridge_electricity_only,128,6.376860854601668,1.7082162735570963,2.525244711825305,0.5078125,-0.10250494803357667,-1.1567081545296167,-0.2024881783683425,0.3185356968982881,-0.6356844157187167,-0.3080734790056061,0.5234375,-0.035851138218840645,-0.10285113821884062,10.0,"[3.793222960060511, 9.795926055038398]","[-0.25058682016316147, 0.07468520479924041]","[-3.155166632451111, 2.0619207396693917]","[0.421875, 0.59375]",post_2022,fold_2019_2022_to_2023h2
ridge_finance_only,128,6.3502627259089115,1.7183972435909978,2.519972762929971,0.4765625,0.05718894024526774,0.6429966075581115,0.44934546686346133,0.31920906679686883,1.407683908770066,-0.14988352125481202,0.9453125,0.34923896729572634,0.2282389672957264,10.0,"[3.809934949837579, 9.509719039635867]","[-0.1488377273886397, 0.2561653283428247]","[-1.462056819692864, 4.10402446722677]","[0.3865234375, 0.5625]",post_2022,fold_2019_2022_to_2023h2
ridge_full,128,6.434774156061041,1.7252220850646285,2.536685663629028,0.4921875,0.01577290636299594,0.17707246263081491,-0.2871130807798308,0.32177106960469326,-0.8922899163450557,-0.3299743314444367,0.9453125,-0.024835215634199728,-0.14583521563419977,10.0,"[3.8526482058645857, 9.714635331530511]","[-0.1729984195369058, 0.1714533614176568]","[-3.5666388519933236, 1.7575452742988482]","[0.40625, 0.578125]",post_2022,fold_2019_2022_to_2023h2
ridge_no_finance,128,6.450216329245111,1.7119766805788679,2.5397276092614955,0.4453125,-0.1152982943481063,-1.3029093596699943,-0.9449566000372444,0.3167226632813842,-2.9835458891608324,-0.524729743353219,0.5234375,-0.41297795557447337,-0.4799779555744733,10.0,"[3.8127237272258423, 9.955302926603226]","[-0.307825272595156, 0.10968577378629328]","[-5.306334208813558, -0.3339337859028917]","[0.3708984375, 0.53125]",post_2022,fold_2019_2022_to_2023h2
ridge_weather_electricity,128,6.450216329245111,1.7119766805788679,2.5397276092614955,0.4453125,-0.1152982943481063,-1.3029093596699943,-0.9449566000372444,0.3167226632813842,-2.9835458891608324,-0.524729743353219,0.5234375,-0.41297795557447337,-0.4799779555744733,10.0,"[3.8127237272258423, 9.955302926603226]","[-0.307825272595156, 0.10968577378629328]","[-5.306334208813558, -0.3339337859028917]","[0.3708984375, 0.53125]",post_2022,fold_2019_2022_to_2023h2
ridge_weather_only,128,6.415497354462433,1.7048614090303338,2.5328832097951994,0.453125,-0.07744522256882208,-0.8719392421317368,-0.8969223841982557,0.3168062549900691,-2.831138495754674,-0.4947582861800566,0.5546875,-0.38457962371974885,-0.4555796237197489,10.0,"[3.768554151828819, 9.940610325533886]","[-0.2947614759047188, 0.1741079985488461]","[-5.313267847830395, -0.10263829707269063]","[0.375, 0.5390625]",post_2022,fold_2019_2022_to_2023h2
rolling5_mean,128,7.020197178889106,1.8507692804052736,2.649565469825025,0.4140625,-0.14135457077559987,-1.6027947320770377,-0.7099297969710556,0.31968810269776415,-2.220695080549273,-0.3879928356646418,0.8359375,-0.25359926195355204,-0.3605992619535521,10.0,"[4.366394182207706, 10.60342568782038]","[-0.25007407443922236, -0.01076202661185442]","[-4.779777300997399, 0.6487279281584998]","[0.3359375, 0.5041015624999998]",post_2022,fold_2019_2022_to_2023h2
zero_change,128,6.340484687067598,1.704465598470874,2.5180319074760744,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,10.0,"[3.756133130731343, 9.745578484630688]","[nan, nan]","[nan, nan]","[0.0, 0.0]",post_2022,fold_2019_2022_to_2023h2
