model,metric,observed,ci_low,ci_high,bootstrap_mean,p_le_zero,n_boot,block_size
lagged_return_reversal,mean_rankic,0.005506105125264501,-0.025637527632595473,0.03209871889027821,0.0038105126417484463,0.386,1000,20
lagged_return_reversal,mean_ic,0.012164382276486013,-0.02167915285701436,0.04135707375507043,0.010370223654678866,0.253,1000,20
lagged_return_reversal,net_pnl,-0.14403822583446046,-1.0357502233507032,0.5037788650752997,-0.20732248080986795,0.696,1000,20
lagged_return_reversal,sharpe,-0.2119013770938465,-1.4187016962853327,0.7885824809379312,-0.2887807878246094,0.696,1000,20
lagged_return_reversal,mean_turnover,0.5225758697261288,0.5049916728349371,0.5396049222797927,0.5224861213915617,0.0,1000,20
ridge_wind_weather_only,mean_rankic,0.005526096393240744,-0.01762463188599683,0.029531579185597203,0.005611846612440866,0.326,1000,20
ridge_wind_weather_only,mean_ic,0.011364923376237516,-0.010998039756265987,0.03526690329459167,0.0120327752145852,0.17,1000,20
ridge_wind_weather_only,net_pnl,0.21516309002977524,-0.3623268804934173,0.8181413033034727,0.21207366070813402,0.237,1000,20
ridge_wind_weather_only,sharpe,0.43937795447924805,-0.7441875578558932,1.6779047151030226,0.43370727786338104,0.237,1000,20
ridge_wind_weather_only,mean_turnover,0.2631384159881569,0.22240932642487046,0.306439674315322,0.264630829015544,0.0,1000,20
rolling_momentum_21d,mean_rankic,0.01115094237305893,-0.02740861174809477,0.05101257741939427,0.013385466130015908,0.268,1000,20
rolling_momentum_21d,mean_ic,0.014193881999453595,-0.0239400238331004,0.05709526930439762,0.017693595801910975,0.207,1000,20
rolling_momentum_21d,net_pnl,0.5130336654874578,-0.40708781632861,1.7163997773847883,0.62887375889034,0.124,1000,20
rolling_momentum_21d,sharpe,0.7226086023520705,-0.6524042158963447,2.371686214323739,0.8762145563219185,0.124,1000,20
rolling_momentum_21d,mean_turnover,0.08956328645447816,0.07957068837897852,0.09844559585492225,0.08860177646188008,0.0,1000,20
