model,metric,observed,ci_low,ci_high,bootstrap_mean,p_le_zero,n_boot,block_size
lagged_return_reversal,mean_rankic,0.005506105125264501,-0.025637527632595473,0.03209871889027821,0.0038105126417484463,0.386,1000,20
lagged_return_reversal,mean_ic,0.012164382276486013,-0.02167915285701436,0.04135707375507043,0.010370223654678866,0.253,1000,20
lagged_return_reversal,net_pnl,-0.14403822583446046,-1.0357502233507032,0.5037788650752997,-0.20732248080986795,0.696,1000,20
lagged_return_reversal,sharpe,-0.2119013770938465,-1.4187016962853327,0.7885824809379312,-0.2887807878246094,0.696,1000,20
lagged_return_reversal,mean_turnover,0.5225758697261288,0.5049916728349371,0.5396049222797927,0.5224861213915617,0.0,1000,20
ridge_finance_only,mean_rankic,0.003914131649479215,-0.03180252195841762,0.031603710913772114,0.00018018811034883265,0.505,1000,20
ridge_finance_only,mean_ic,0.008503794160512753,-0.024279925300534556,0.031650391094038756,0.004448163236072739,0.39,1000,20
ridge_finance_only,net_pnl,-0.2378540228263048,-1.16912546489637,0.4473328109879162,-0.3400192411928907,0.8,1000,20
ridge_finance_only,sharpe,-0.3849441244930679,-1.8955089362411368,0.7592311571115233,-0.5492202379457799,0.8,1000,20
ridge_finance_only,mean_turnover,0.23889711324944485,0.21908771280532935,0.2555514433752776,0.23663286454478163,0.0,1000,20
ridge_wind_weather_only,mean_rankic,0.005526096393240744,-0.01914215882486055,0.0286568411605139,0.005063018978742814,0.338,1000,20
ridge_wind_weather_only,mean_ic,0.011364923376237516,-0.012050829249831228,0.03400435498660722,0.011218205573852755,0.166,1000,20
ridge_wind_weather_only,net_pnl,0.21516309002977524,-0.39191160850595047,0.7785445651116994,0.19869669809033536,0.236,1000,20
ridge_wind_weather_only,sharpe,0.43937795447924805,-0.8026920777711497,1.5767841882930562,0.4084421989355801,0.236,1000,20
ridge_wind_weather_only,mean_turnover,0.2631384159881569,0.2233530717986676,0.3081236121391562,0.2644387490747594,0.0,1000,20
rolling_momentum_21d,mean_rankic,0.01115094237305893,-0.02578995080220061,0.05640712820383927,0.01518705597334076,0.249,1000,20
rolling_momentum_21d,mean_ic,0.014193881999453595,-0.020786156430183396,0.06130845016112588,0.01907063189031851,0.172,1000,20
rolling_momentum_21d,net_pnl,0.5130336654874578,-0.40982421843666966,1.7079450783002685,0.6521202791982916,0.121,1000,20
rolling_momentum_21d,sharpe,0.7226086023520705,-0.6101659174612288,2.4171694725617607,0.9100354608385663,0.121,1000,20
rolling_momentum_21d,mean_turnover,0.08956328645447816,0.07901554404145077,0.09826054774241301,0.08828867505551444,0.0,1000,20
