model,best_baseline,mean_loss_diff_model_minus_baseline,dm_t_stat,normal_approx_p_value,fold
zero_change,ridge_finance_only,0.006760957267997324,0.058058964136988606,0.953701661099944,fold_2019_2021_to_2023
previous_pc1_change,ridge_finance_only,5.770516153688213,4.218644461101668,2.457754779098098e-05,fold_2019_2021_to_2023
rolling5_mean,ridge_finance_only,0.43881878152695825,2.20958267105053,0.0271341390653384,fold_2019_2021_to_2023
ridge_full,ridge_finance_only,0.19559990923264392,1.4532980301839604,0.14614102399668163,fold_2019_2021_to_2023
ridge_weather_only,ridge_finance_only,0.10191579045363792,0.7599726369057656,0.4472709411928755,fold_2019_2021_to_2023
ridge_electricity_only,ridge_finance_only,0.03307496904170625,0.2682252919781854,0.7885259078734751,fold_2019_2021_to_2023
ridge_weather_electricity,ridge_finance_only,0.1661579859951449,1.0561541416703473,0.29089779809753785,fold_2019_2021_to_2023
ridge_no_finance,ridge_finance_only,0.1661579859951449,1.0561541416703473,0.29089779809753785,fold_2019_2021_to_2023
linear_full,ridge_finance_only,0.28407790048395165,1.90207171353245,0.05716177986517065,fold_2019_2021_to_2023
gradient_boosting_full,ridge_finance_only,1.1040401769461619,3.7301181336959064,0.0001913900131255523,fold_2019_2021_to_2023
previous_pc1_change,zero_change,8.015474509517087,3.592812924095478,0.0003271274480610284,fold_2019_2022_to_2023h2
rolling5_mean,zero_change,0.6797124918215078,3.6981523609400853,0.00021717452492198814,fold_2019_2022_to_2023h2
ridge_full,zero_change,0.09428946899344316,0.6096568619952932,0.5420891360412383,fold_2019_2022_to_2023h2
ridge_finance_only,zero_change,0.009778038841312467,0.05780487202743596,0.9539040573537593,fold_2019_2022_to_2023h2
ridge_weather_only,zero_change,0.07501266739483436,0.8219136585297927,0.4111260388110749,fold_2019_2022_to_2023h2
ridge_electricity_only,zero_change,0.03637616753407044,1.3583071865794059,0.17436623084848996,fold_2019_2022_to_2023h2
ridge_weather_electricity,zero_change,0.1097316421775126,1.2589953306202164,0.20803201844279876,fold_2019_2022_to_2023h2
ridge_no_finance,zero_change,0.1097316421775126,1.2589953306202164,0.20803201844279876,fold_2019_2022_to_2023h2
linear_full,zero_change,0.09313778209080045,0.5906849516613384,0.5547315326427924,fold_2019_2022_to_2023h2
gradient_boosting_full,zero_change,1.0095535917333318,2.4887477163938594,0.012819389676095163,fold_2019_2022_to_2023h2
zero_change,ridge_electricity_only,0.000621951996509917,0.05445540970176258,0.9565723337465161,fold_2019_2023_to_2024h2
previous_pc1_change,ridge_electricity_only,5.363631585806942,4.153427396326661,3.275321653468423e-05,fold_2019_2023_to_2024h2
rolling5_mean,ridge_electricity_only,0.24236181710423635,1.9202042616807862,0.05483210353574466,fold_2019_2023_to_2024h2
ridge_full,ridge_electricity_only,0.21180206756994358,2.134172563765359,0.03282865769592273,fold_2019_2023_to_2024h2
ridge_finance_only,ridge_electricity_only,0.15542887067809796,1.67555080665714,0.09382621141416653,fold_2019_2023_to_2024h2
ridge_weather_only,ridge_electricity_only,0.03528133301109934,0.8915310644353334,0.3726443338623584,fold_2019_2023_to_2024h2
ridge_weather_electricity,ridge_electricity_only,0.03536391192167864,0.9028520215092404,0.3666044372796359,fold_2019_2023_to_2024h2
ridge_no_finance,ridge_electricity_only,0.03536391192167864,0.9028520215092404,0.3666044372796359,fold_2019_2023_to_2024h2
linear_full,ridge_electricity_only,0.22089195865174607,2.176421522177205,0.029523755931101205,fold_2019_2023_to_2024h2
gradient_boosting_full,ridge_electricity_only,0.3896875753481418,1.8037182063214874,0.07127549392375163,fold_2019_2023_to_2024h2
